Year,State,Sport,Boys School,Girls School,Boys Participation,Girls Participation
2018/2019,AL,Soccer,183,172,6916,5434
2018/2019,AK,Soccer,40,37,929,960
2018/2019,AZ,Soccer,212,190,7848,6489
2018/2019,AR,Soccer,107,103,3038,2461
2018/2019,CA,Soccer,1393,1376,54996,49342
2018/2019,CO,Soccer,230,233,8241,6829
2018/2019,CT,Soccer,177,164,7030,5661
2018/2019,DC,Soccer,30,31,910,700
2018/2019,DE,Soccer,54,48,2062,1526
2018/2019,FL,Soccer,613,583,19923,17595
2018/2019,GA,Soccer,398,400,11944,10430
2018/2019,HI,Soccer,61,57,1706,1544
2018/2019,ID,Soccer,78,85,2191,2271
2018/2019,IL,Soccer,457,404,20669,15918
2018/2019,IN,Soccer,308,276,9216,7420
2018/2019,IA,Soccer,160,153,6699,5818
2018/2019,KS,Soccer,106,99,4313,3524
2018/2019,KY,Soccer,196,194,6603,5847
2018/2019,LA,Soccer,191,191,4927,4195
2018/2019,ME,Soccer,129,130,3992,3536
2018/2019,MD,Soccer,183,179,6943,5840
2018/2019,MA,Soccer,348,347,14551,12960
2018/2019,MI,Soccer,492,476,14425,13276
2018/2019,MN,Soccer,276,252,9561,8371
2018/2019,MS,Soccer,135,135,4012,2730
2018/2019,MO,Soccer,251,248,8794,8185
2018/2019,MT,Soccer,28,33,841,830
2018/2019,NE,Soccer,80,79,2847,2523
2018/2019,NV,Soccer,71,69,2661,2567
2018/2019,NH,Soccer,87,81,3006,2605
2018/2019,NJ,Soccer,397,373,19640,14279
2018/2019,NM,Soccer,78,66,2451,2196
2018/2019,NY,Soccer,674,675,22891,21081
2018/2019,NC,Soccer,390,380,12417,10206
2018/2019,ND,Soccer,18,20,662,650
2018/2019,OH,Soccer,581,549,17255,16578
2018/2019,OK,Soccer,126,130,3845,3414
2018/2019,OR,Soccer,186,161,6595,5397
2018/2019,PA,Soccer,567,538,19845,18830
2018/2019,RI,Soccer,50,50,2151,1795
2018/2019,SC,Soccer,175,160,6218,5023
2018/2019,SD,Soccer,30,30,697,714
2018/2019,TN,Soccer,324,310,8266,7113
2018/2019,TX,Soccer,779,759,44865,34591
2018/2019,UT,Soccer,113,106,4013,3608
2018/2019,VT,Soccer,34,34,1101,968
2018/2019,VA,Soccer,10558,289,10400,8994
2018/2019,WA,Soccer,282,284,10754,9935
2018/2019,WV,Soccer,82,77,2041,1826
2018/2019,WI,Soccer,273,264,10244,8645
2018/2019,WY,Soccer,27,27,932,875
2017/2018,AL,Soccer,181,170,6588,5021
2017/2018,AK,Soccer,39,39,951,974
2017/2018,AZ,Soccer,207,188,7730,6217
2017/2018,AR,Soccer,108,107,2987,2547
2017/2018,CA,Soccer,1327,1333,53262,47186
2017/2018,CO,Soccer,230,233,8368,7784
2017/2018,CT,Soccer,177,164,7271,5772
2017/2018,DC,Soccer,28,26,829,574
2017/2018,DE,Soccer,58,53,2129,1690
2017/2018,FL,Soccer,610,583,19596,17360
2017/2018,GA,Soccer,392,392,11910,10355
2017/2018,HI,Soccer,63,60,1812,1673
2017/2018,ID,Soccer,78,79,2102,2172
2017/2018,IL,Soccer,456,413,20877,16334
2017/2018,IN,Soccer,306,298,9135,7498
2017/2018,IA,Soccer,157,149,6623,5610
2017/2018,KS,Soccer,105,98,4251,3477
2017/2018,KY,Soccer,195,199,6545,5906
2017/2018,LA,Soccer,187,184,5045,4034
2017/2018,ME,Soccer,135,138,4255,3665
2017/2018,MD,Soccer,179,172,6764,5839
2017/2018,MA,Soccer,350,348,14523,12892
2017/2018,MI,Soccer,484,468,14550,13285
2017/2018,MN,Soccer,272,250,9508,8322
2017/2018,MS,Soccer,135,133,4012,2700
2017/2018,MO,Soccer,235,237,8950,8384
2017/2018,MT,Soccer,30,29,758,795
2017/2018,NE,Soccer,80,77,2888,2577
2017/2018,NV,Soccer,72,69,2437,2451
2017/2018,NH,Soccer,86,80,3066,2563
2017/2018,NJ,Soccer,395,371,19964,14323
2017/2018,NM,Soccer,73,73,2468,2135
2017/2018,NY,Soccer,682,670,23229,21111
2017/2018,NC,Soccer,381,373,12298,10254
2017/2018,ND,Soccer,18,19,685,631
2017/2018,OH,Soccer,576,540,18458,16071
2017/2018,OK,Soccer,127,132,4070,3636
2017/2018,OR,Soccer,185,164,6397,5398
2017/2018,PA,Soccer,579,547,20265,19145
2017/2018,RI,Soccer,48,48,1959,1752
2017/2018,SC,Soccer,171,158,6146,4965
2017/2018,SD,Soccer,29,29,748,656
2017/2018,TN,Soccer,328,311,8389,7038
2017/2018,TX,Soccer,749,730,42077,32589
2017/2018,UT,Soccer,109,105,3931,3550
2017/2018,VT,Soccer,31,30,865,780
2017/2018,VA,Soccer,292,288,10400,8913
2017/2018,WA,Soccer,285,290,11025,10235
2017/2018,WV,Soccer,81,77,2044,1794
2017/2018,WI,Soccer,265,257,10291,8971
2017/2018,WY,Soccer,27,26,931,878
2016/2017,AL,Soccer,177,166,6226,4781
2016/2017,AK,Soccer,37,37,952,961
2016/2017,AZ,Soccer,210,187,7744,6484
2016/2017,AR,Soccer,104,101,2927,2336
2016/2017,CA,Soccer,1293,1291,52795,47139
2016/2017,CO,Soccer,231,235,8321,8000
2016/2017,CT,Soccer,176,165,7382,5738
2016/2017,DC,Soccer,28,26,924,664
2016/2017,DE,Soccer,55,54,2104,1701
2016/2017,FL,Soccer,607,583,19522,17392
2016/2017,GA,Soccer,392,396,11961,10669
2016/2017,HI,Soccer,64,62,1793,1659
2016/2017,ID,Soccer,72,76,2139,2205
2016/2017,IL,Soccer,454,405,20946,16148
2016/2017,IN,Soccer,301,289,9210,7416
2016/2017,IA,Soccer,151,154,6302,5423
2016/2017,KS,Soccer,106,97,4271,3548
2016/2017,KY,Soccer,196,200,6415,5938
2016/2017,LA,Soccer,174,171,4967,3987
2016/2017,ME,Soccer,133,137,4212,3603
2016/2017,MD,Soccer,183,175,6769,5902
2016/2017,MA,Soccer,357,352,14031,12787
2016/2017,MI,Soccer,481,459,14541,13301
2016/2017,MN,Soccer,266,248,9419,8313
2016/2017,MS,Soccer,134,132,3990,2660
2016/2017,MO,Soccer,232,235,8850,8323
2016/2017,MT,Soccer,31,30,848,828
2016/2017,NE,Soccer,81,79,2980,2696
2016/2017,NV,Soccer,70,70,2320,2278
2016/2017,NH,Soccer,85,80,3070,2578
2016/2017,NJ,Soccer,393,370,19683,14900
2016/2017,NM,Soccer,73,73,2499,2159
2016/2017,NY,Soccer,699,694,23213,20939
2016/2017,NC,Soccer,381,371,12401,10263
2016/2017,ND,Soccer,20,20,649,619
2016/2017,OH,Soccer,581,543,17342,15185
2016/2017,OK,Soccer,122,125,4361,4086
2016/2017,OR,Soccer,180,163,6421,5489
2016/2017,PA,Soccer,575,542,20125,18970
2016/2017,RI,Soccer,47,46,1820,1381
2016/2017,SC,Soccer,171,159,6306,5107
2016/2017,SD,Soccer,28,26,713,639
2016/2017,TN,Soccer,311,308,8305,7153
2016/2017,TX,Soccer,625,619,38491,30583
2016/2017,UT,Soccer,107,103,3947,3652
2016/2017,VT,Soccer,34,34,1101,968
2016/2017,VA,Soccer,294,294,10359,9120
2016/2017,WA,Soccer,291,287,11301,10039
2016/2017,WV,Soccer,80,75,2034,1745
2016/2017,WI,Soccer,271,255,10354,9127
2016/2017,WY,Soccer,24,24,878,757
2015/2016,AL,Soccer,177,166,5740,4439
2015/2016,AK,Soccer,38,38,1005,955
2015/2016,AZ,Soccer,205,184,7601,6401
2015/2016,AR,Soccer,92,90,2633,2134
2015/2016,CA,Soccer,1331,1319,52279,46769
2015/2016,CO,Soccer,220,222,8297,7991
2015/2016,CT,Soccer,181,169,7344,5817
2015/2016,DC,Soccer,28,26,871,640
2015/2016,DE,Soccer,52,51,2048,1590
2015/2016,FL,Soccer,556,536,16178,15902
2015/2016,GA,Soccer,387,390,11771,10359
2015/2016,HI,Soccer,63,63,1833,1697
2015/2016,ID,Soccer,75,76,2098,2153
2015/2016,IL,Soccer,452,403,20704,16286
2015/2016,IN,Soccer,294,262,9193,6984
2015/2016,IA,Soccer,152,142,6736,4902
2015/2016,KS,Soccer,108,89,4502,3371
2015/2016,KY,Soccer,193,197,6485,6016
2015/2016,LA,Soccer,168,165,4892,4026
2015/2016,ME,Soccer,133,138,4175,3633
2015/2016,MD,Soccer,184,175,6788,5796
