Year,State,Sport,Boys School,Girls School,Boys Participation,Girls Participation
2015/2016,MA,Soccer,380,356,14056,12911
2015/2016,MI,Soccer,474,456,14526,13415
2015/2016,MN,Soccer,248,235,9254,8116
2015/2016,MS,Soccer,136,135,4010,2690
2015/2016,MO,Soccer,228,234,8676,8295
2015/2016,MT,Soccer,30,31,871,835
2015/2016,NE,Soccer,75,74,2854,2662
2015/2016,NV,Soccer,68,67,2325,2371
2015/2016,NH,Soccer,85,80,2981,2749
2015/2016,NJ,Soccer,394,370,19256,14549
2015/2016,NM,Soccer,71,71,2530,2155
2015/2016,NY,Soccer,668,691,22902,21080
2015/2016,NC,Soccer,383,362,11950,10227
2015/2016,ND,Soccer,17,18,667,628
2015/2016,OH,Soccer,558,553,16411,14547
2015/2016,OK,Soccer,121,124,4300,3943
2015/2016,OR,Soccer,177,160,6196,5221
2015/2016,PA,Soccer,575,544,20125,19040
2015/2016,RI,Soccer,47,46,1795,1476
2015/2016,SC,Soccer,168,154,6014,5003
2015/2016,SD,Soccer,28,26,680,620
2015/2016,TN,Soccer,307,303,8135,6952
2015/2016,TX,Soccer,620,615,37989,30175
2015/2016,UT,Soccer,106,99,3906,3474
2015/2016,VT,Soccer,53,53,1269,1183
2015/2016,VA,Soccer,292,287,10550,9104
2015/2016,WA,Soccer,290,290,9770,8515
2015/2016,WV,Soccer,70,64,1902,1789
2015/2016,WI,Soccer,272,253,10322,9070
2015/2016,WY,Soccer,24,24,927,873
2014/2015,AL,Soccer,180,180,5357,4098
2014/2015,AK,Soccer,61,61,1009,948
2014/2015,AZ,Soccer,203,179,7406,6359
2014/2015,AR,Soccer,96,89,2625,2064
2014/2015,CA,Soccer,1274,1262,49264,44670
2014/2015,CO,Soccer,211,213,7770,7623
2014/2015,CT,Soccer,178,166,7245,5331
2014/2015,DC,Soccer,0,0,755,616
2014/2015,DE,Soccer,52,52,2171,1764
2014/2015,FL,Soccer,556,535,15987,15066
2014/2015,GA,Soccer,377,382,11461,10053
2014/2015,HI,Soccer,63,65,1626,1697
2014/2015,ID,Soccer,70,71,1960,1982
2014/2015,IL,Soccer,444,396,20221,15489
2014/2015,IN,Soccer,295,260,8949,6619
2014/2015,IA,Soccer,149,142,6265,5209
2014/2015,KS,Soccer,106,92,4406,3453
2014/2015,KY,Soccer,189,192,6034,5539
2014/2015,LA,Soccer,170,161,4752,3730
2014/2015,ME,Soccer,138,142,4279,3785
2014/2015,MD,Soccer,181,175,6738,5805
2014/2015,MA,Soccer,354,350,14055,13005
2014/2015,MI,Soccer,466,459,14370,13389
2014/2015,MN,Soccer,248,235,9146,7953
2014/2015,MS,Soccer,135,135,3975,2700
2014/2015,MO,Soccer,224,229,8454,8228
2014/2015,MT,Soccer,30,30,849,821
2014/2015,NE,Soccer,76,79,2757,2505
2014/2015,NV,Soccer,66,68,2452,2442
2014/2015,NH,Soccer,85,80,3018,2762
2014/2015,NJ,Soccer,394,368,19156,14208
2014/2015,NM,Soccer,69,70,2407,2112
2014/2015,NY,Soccer,696,700,23669,22727
2014/2015,NC,Soccer,364,354,11781,9877
2014/2015,ND,Soccer,17,18,616,522
2014/2015,OH,Soccer,558,553,16411,14547
2014/2015,OK,Soccer,119,127,4642,4263
2014/2015,OR,Soccer,175,156,6151,5162
2014/2015,PA,Soccer,573,539,20055,18865
2014/2015,RI,Soccer,47,47,1757,1436
2014/2015,SC,Soccer,167,151,5838,4807
2014/2015,SD,Soccer,26,20,689,610
2014/2015,TN,Soccer,286,279,7995,6749
2014/2015,TX,Soccer,587,582,37452,30015
2014/2015,UT,Soccer,104,95,3706,3211
2014/2015,VT,Soccer,53,53,1269,1183
2014/2015,VA,Soccer,286,283,10187,8822
2014/2015,WA,Soccer,278,273,10354,9232
2014/2015,WV,Soccer,75,76,1853,1768
2014/2015,WI,Soccer,262,253,10297,8983
2014/2015,WY,Soccer,25,25,928,877
2013/2014,AL,Soccer,152,144,3806,3291
2013/2014,AK,Soccer,35,35,1015,930
2013/2014,AZ,Soccer,194,175,7090,6353
2013/2014,AR,Soccer,90,85,2381,1959
2013/2014,CA,Soccer,1256,1239,48560,43819
2013/2014,CO,Soccer,196,207,7251,7589
2013/2014,CT,Soccer,177,163,6935,5785
2013/2014,DC,Soccer,7,5,556,430
2013/2014,DE,Soccer,50,49,1887,1549
2013/2014,FL,Soccer,562,550,15769,15400
2013/2014,GA,Soccer,369,370,10729,9725
2013/2014,HI,Soccer,53,54,1528,1674
2013/2014,ID,Soccer,68,71,1977,1964
2013/2014,IL,Soccer,436,404,18857,16011
2013/2014,IN,Soccer,299,258,8765,6484
2013/2014,IA,Soccer,152,139,6027,5249
2013/2014,KS,Soccer,103,91,4111,3511
2013/2014,KY,Soccer,188,188,5894,5566
2013/2014,LA,Soccer,161,153,4434,3824
2013/2014,ME,Soccer,134,135,4061,3769
2013/2014,MD,Soccer,182,176,6486,5840
2013/2014,MA,Soccer,353,348,13414,12889
2013/2014,MI,Soccer,475,466,14242,13667
2013/2014,MN,Soccer,244,230,8958,7835
2013/2014,MS,Soccer,135,135,3920,2640
2013/2014,MO,Soccer,234,233,8341,8173
2013/2014,MT,Soccer,30,29,821,828
2013/2014,NE,Soccer,67,69,2647,2473
2013/2014,NV,Soccer,68,69,2195,2293
2013/2014,NH,Soccer,85,79,3008,2685
2013/2014,NJ,Soccer,395,371,18710,14968
2013/2014,NM,Soccer,69,70,2451,2228
2013/2014,NY,Soccer,696,700,23669,22727
2013/2014,NC,Soccer,368,359,13711,12031
2013/2014,ND,Soccer,18,19,583,535
2013/2014,OH,Soccer,568,530,14700,14200
2013/2014,OK,Soccer,124,130,3897,3428
2013/2014,OR,Soccer,182,168,6019,5137
2013/2014,PA,Soccer,572,536,20020,18760
2013/2014,RI,Soccer,47,47,1634,1471
2013/2014,SC,Soccer,166,147,5595,4583
2013/2014,SD,Soccer,11,9,287,222
2013/2014,TN,Soccer,289,284,7393,6584
2013/2014,TX,Soccer,587,582,35506,28909
2013/2014,UT,Soccer,102,96,3455,3047
2013/2014,VT,Soccer,47,47,1622,1547
2013/2014,VA,Soccer,284,284,10009,9130
2013/2014,WA,Soccer,276,272,10169,9161
2013/2014,WV,Soccer,76,77,1756,1704
2013/2014,WI,Soccer,262,253,9680,9137
2013/2014,WY,Soccer,24,24,888,850
2012/2013,AL,Soccer,157,145,3910,3320
2012/2013,AK,Soccer,36,36,998,882
2012/2013,AZ,Soccer,189,173,7127,6181
2012/2013,AR,Soccer,73,70,1916,1585
2012/2013,CA,Soccer,1250,1236,47861,43282
2012/2013,CO,Soccer,196,207,7145,7595
2012/2013,CT,Soccer,171,158,6871,5877
2012/2013,DC,Soccer,7,5,143,120
2012/2013,DE,Soccer,49,49,1932,1606
2012/2013,FL,Soccer,560,542,14161,13664
2012/2013,GA,Soccer,367,369,10638,9716
2012/2013,HI,Soccer,53,54,1250,1490
2012/2013,ID,Soccer,70,83,1989,1965
2012/2013,IL,Soccer,438,400,19098,16144
2012/2013,IN,Soccer,298,258,8622,6436
2012/2013,IA,Soccer,151,135,5820,4900
2012/2013,KS,Soccer,105,90,4212,3367
2012/2013,KY,Soccer,188,192,6059,5551
2012/2013,LA,Soccer,157,151,4424,3758
2012/2013,ME,Soccer,136,139,4169,3895
2012/2013,MD,Soccer,177,175,6577,5985
2012/2013,MA,Soccer,352,345,13338,12920
2012/2013,MI,Soccer,485,463,14273,13588
2012/2013,MN,Soccer,242,225,8892,8346
2012/2013,MS,Soccer,134,134,3889,2538
2012/2013,MO,Soccer,234,232,8169,8057
2012/2013,MT,Soccer,30,30,835,842
2012/2013,NE,Soccer,72,76,2521,2347
2012/2013,NV,Soccer,66,67,2256,2339
2012/2013,NH,Soccer,85,79,3069,2598
2012/2013,NJ,Soccer,383,360,18294,14032
2012/2013,NM,Soccer,71,69,2349,2068
2012/2013,NY,Soccer,696,700,23669,22727
2012/2013,NC,Soccer,362,358,13487,12031
2012/2013,ND,Soccer,15,15,593,586
2012/2013,OH,Soccer,578,532,14730,14256
2012/2013,OK,Soccer,85,90,3785,3548
2012/2013,OR,Soccer,177,268,5758,5113
2012/2013,PA,Soccer,579,541,20265,18935
2012/2013,RI,Soccer,46,47,1630,1486
2012/2013,SC,Soccer,163,142,5568,4559
2012/2013,SD,Soccer,0,0,0,0
2012/2013,TN,Soccer,283,273,7113,6434
2012/2013,TX,Soccer,597,596,34063,30470
2012/2013,UT,Soccer,101,95,3342,3050
2012/2013,VT,Soccer,40,41,1334,1338
2012/2013,VA,Soccer,282,283,9863,8773
2012/2013,WA,Soccer,278,276,10451,9475
2012/2013,WV,Soccer,75,74,1827,1647
2012/2013,WI,Soccer,263,249,9817,9243
2012/2013,WY,Soccer,24,24,880,867
2011/2012,AL,Soccer,159,146,3972,3358
2011/2012,AK,Soccer,36,35,995,983
2011/2012,AZ,Soccer,184,170,6810,5911
2011/2012,AR,Soccer,77,75,2075,1718
2011/2012,CA,Soccer,1254,1237,47801,43332
2011/2012,CO,Soccer,192,201,7265,7458
2011/2012,CT,Soccer,172,155,7104,5808
2011/2012,DC,Soccer,7,5,143,120
2011/2012,DE,Soccer,49,49,1908,1549
2011/2012,FL,Soccer,557,500,15169,14842
2011/2012,GA,Soccer,360,357,10731,9777
2011/2012,HI,Soccer,53,54,1510,1718
2011/2012,ID,Soccer,68,72,1933,1938
2011/2012,IL,Soccer,432,394,19464,16107
2011/2012,IN,Soccer,292,253,8528,6412
2011/2012,IA,Soccer,148,133,5850,4894
2011/2012,KS,Soccer,106,87,4134,3296
2011/2012,KY,Soccer,190,191,6066,5640
2011/2012,LA,Soccer,154,144,4513,3670
2011/2012,ME,Soccer,134,131,4743,3780
2011/2012,MD,Soccer,177,175,6251,5699
2011/2012,MA,Soccer,351,345,13518,12990
2011/2012,MI,Soccer,482,469,14324,13654
2011/2012,MN,Soccer,241,221,8830,8090
2011/2012,MS,Soccer,125,125,3754,2403
2011/2012,MO,Soccer,230,226,8193,8064
2011/2012,MT,Soccer,30,29,851,843
2011/2012,NE,Soccer,71,75,2536,2424
2011/2012,NV,Soccer,66,68,2167,2282
2011/2012,NH,Soccer,85,80,3073,2592
2011/2012,NJ,Soccer,380,356,18240,13431
2011/2012,NM,Soccer,71,69,2070,2031
2011/2012,NY,Soccer,696,700,23669,22727
2011/2012,NC,Soccer,361,361,13423,12132
2011/2012,ND,Soccer,15,17,568,538
2011/2012,OH,Soccer,588,532,14985,14256
2011/2012,OK,Soccer,117,114,2850,2975
2011/2012,OR,Soccer,177,169,5685,5019
2011/2012,PA,Soccer,584,541,20440,18935
2011/2012,RI,Soccer,46,47,1641,1500
2011/2012,SC,Soccer,164,140,5466,4409
2011/2012,SD,Soccer,0,0,0,0
2011/2012,TN,Soccer,280,269,7179,6172
2011/2012,TX,Soccer,582,575,34482,30989
2011/2012,UT,Soccer,100,99,3209,3094
2011/2012,VT,Soccer,37,38,1346,1282
2011/2012,VA,Soccer,281,279,9896,8809
2011/2012,WA,Soccer,278,270,10337,9514
2011/2012,WV,Soccer,74,74,1848,1589
2011/2012,WI,Soccer,263,251,9318,9364
2011/2012,WY,Soccer,24,24,894,857
2010/2011,AL,Soccer,158,148,3951,3408
2010/2011,AK,Soccer,37,35,1021,921
2010/2011,AZ,Soccer,189,160,6484,5803
2010/2011,AR,Soccer,86,86,2017,1764
2010/2011,CA,Soccer,1243,1214,47078,42720
2010/2011,CO,Soccer,191,203,7119,7217
2010/2011,CT,Soccer,172,157,7118,5599
2010/2011,DC,Soccer,7,5,143,120
2010/2011,DE,Soccer,50,50,1926,1581
2010/2011,FL,Soccer,525,514,14468,14410
2010/2011,GA,Soccer,336,338,9774,9122
2010/2011,HI,Soccer,53,54,1510,1718
2010/2011,ID,Soccer,69,69,2024,1946
2010/2011,IL,Soccer,420,388,18935,16285
2010/2011,IN,Soccer,286,249,8499,6497
2010/2011,IA,Soccer,135,133,5936,5081
2010/2011,KS,Soccer,105,98,4158,3257
2010/2011,KY,Soccer,174,188,5219,4997
2010/2011,LA,Soccer,147,141,4360,3641
2010/2011,ME,Soccer,139,138,4350,4054
2010/2011,MD,Soccer,177,176,6273,5863
2010/2011,MA,Soccer,354,333,13886,12923
2010/2011,MI,Soccer,484,463,14725,13649
2010/2011,MN,Soccer,238,219,8907,8117
2010/2011,MS,Soccer,125,125,3754,2403
2010/2011,MO,Soccer,229,221,7402,7711
2010/2011,MT,Soccer,30,29,860,840
2010/2011,NE,Soccer,72,75,2580,2422
2010/2011,NV,Soccer,64,65,2178,2331
2010/2011,NH,Soccer,87,81,3025,2611
2010/2011,NJ,Soccer,377,353,18095,13320
2010/2011,NM,Soccer,77,72,2300,2185
2010/2011,NY,Soccer,680,690,24260,23947
2010/2011,NC,Soccer,360,346,10493,13554
2010/2011,ND,Soccer,15,18,528,588
2010/2011,OH,Soccer,595,539,15233,14617
2010/2011,OK,Soccer,117,114,2600,2500
2010/2011,OR,Soccer,185,166,5825,5121
2010/2011,PA,Soccer,585,537,20475,18795
2010/2011,RI,Soccer,45,47,1626,1512
2010/2011,SC,Soccer,161,147,4377,4377
2010/2011,SD,Soccer,0,0,0,0
2010/2011,TN,Soccer,257,251,7354,6116
2010/2011,TX,Soccer,602,594,27502,22123
2010/2011,UT,Soccer,100,98,3185,2902
2010/2011,VT,Soccer,47,47,1673,1577
2010/2011,VA,Soccer,282,254,9832,8563
2010/2011,WA,Soccer,280,275,10417,9421
2010/2011,WV,Soccer,73,70,1845,1582
2010/2011,WI,Soccer,259,250,10112,8938
2010/2011,WY,Soccer,24,24,939,807
2009/2010,AL,Soccer,151,133,3776,3408
2009/2010,AK,Soccer,36,34,1043,947
2009/2010,AZ,Soccer,189,160,6928,6061
2009/2010,AR,Soccer,74,72,1739,1535
2009/2010,CA,Soccer,1183,1149,44705,41727
2009/2010,CO,Soccer,188,203,6809,6889
2009/2010,CT,Soccer,175,158,7087,5861
2009/2010,DC,Soccer,7,5,143,120
2009/2010,DE,Soccer,47,49,1515,1769
2009/2010,FL,Soccer,521,507,14034,13991
2009/2010,GA,Soccer,336,338,9774,9122
2009/2010,HI,Soccer,53,54,1474,1703
2009/2010,ID,Soccer,72,71,1939,1898
2009/2010,IL,Soccer,424,399,18347,16619
2009/2010,IN,Soccer,287,249,8575,6558
2009/2010,IA,Soccer,164,165,5710,5089
2009/2010,KS,Soccer,103,98,3980,3199
2009/2010,KY,Soccer,174,188,5219,4997
2009/2010,LA,Soccer,144,141,3748,3490
2009/2010,ME,Soccer,134,134,4278,3950
2009/2010,MD,Soccer,181,169,6381,5598
2009/2010,MA,Soccer,353,315,13278,12922
2009/2010,MI,Soccer,482,455,14621,13535
2009/2010,MN,Soccer,222,215,8489,8297
2009/2010,MS,Soccer,125,125,3754,2403
2009/2010,MO,Soccer,228,223,8017,7955
2009/2010,MT,Soccer,30,29,850,825
2009/2010,NE,Soccer,71,73,2611,2393
2009/2010,NV,Soccer,64,65,1860,2041
2009/2010,NH,Soccer,87,81,3054,2653
2009/2010,NJ,Soccer,379,353,16734,13483
2009/2010,NM,Soccer,77,72,2300,2185
2009/2010,NY,Soccer,680,682,24651,23753
2009/2010,NC,Soccer,340,326,10493,9858
2009/2010,ND,Soccer,16,18,556,580
2009/2010,OH,Soccer,599,535,15898,14100
2009/2010,OK,Soccer,118,117,2691,2457
2009/2010,OR,Soccer,181,161,5818,5408
2009/2010,PA,Soccer,589,554,20615,19390
2009/2010,RI,Soccer,45,47,1641,1523
2009/2010,SC,Soccer,160,142,5118,4220
2009/2010,SD,Soccer,0,0,0,0
2009/2010,TN,Soccer,265,258,6911,5854
2009/2010,TX,Soccer,602,594,27502,22123
2009/2010,UT,Soccer,97,93,3014,2734
2009/2010,VT,Soccer,45,45,1600,1502
2009/2010,VA,Soccer,277,268,9615,8177
2009/2010,WA,Soccer,245,238,10283,9238
2009/2010,WV,Soccer,72,69,1815,1677
2009/2010,WI,Soccer,260,249,10001,9487
2009/2010,WY,Soccer,23,23,845,812
2008/2009,AL,Soccer,144,126,3601,3229
2008/2009,AK,Soccer,33,32,912,920
2008/2009,AZ,Soccer,187,178,6205,5298
2008/2009,AR,Soccer,80,79,1948,1624
2008/2009,CA,Soccer,1183,1149,44705,41727
2008/2009,CO,Soccer,191,200,6684,7028
2008/2009,CT,Soccer,173,156,6964,5847
2008/2009,DC,Soccer,7,5,143,120
2008/2009,DE,Soccer,47,49,1684,1540
2008/2009,FL,Soccer,500,498,13918,13920
2008/2009,GA,Soccer,308,310,9288,8492
2008/2009,HI,Soccer,53,51,1538,1639
2008/2009,ID,Soccer,79,73,1937,1895
2008/2009,IL,Soccer,417,390,18214,16111
2008/2009,IN,Soccer,283,250,8465,6554
2008/2009,IA,Soccer,143,126,5792,4966
2008/2009,KS,Soccer,101,83,4118,3008
2008/2009,KY,Soccer,174,188,5219,4997
2008/2009,LA,Soccer,147,138,3648,3486
2008/2009,ME,Soccer,136,138,4306,4096
2008/2009,MD,Soccer,179,169,5813,5638
2008/2009,MA,Soccer,352,314,13211,12518
2008/2009,MI,Soccer,458,445,14603,13670
2008/2009,MN,Soccer,228,215,8718,8273
2008/2009,MS,Soccer,119,114,3664,2301
2008/2009,MO,Soccer,221,218,8515,8287
2008/2009,MT,Soccer,30,29,805,786
2008/2009,NE,Soccer,69,73,2638,2265
2008/2009,NV,Soccer,64,65,1860,2041
2008/2009,NH,Soccer,87,80,3204,2797
2008/2009,NJ,Soccer,383,353,17553,13903
2008/2009,NM,Soccer,72,72,2348,2173
2008/2009,NY,Soccer,680,682,24651,23753
2008/2009,NC,Soccer,326,204,6274,3584
2008/2009,ND,Soccer,15,18,565,605
2008/2009,OH,Soccer,580,515,15610,13609
2008/2009,OK,Soccer,121,114,1801,1723
2008/2009,OR,Soccer,185,160,6137,5462
2008/2009,PA,Soccer,585,545,20475,19075
2008/2009,RI,Soccer,46,48,1613,1488
2008/2009,SC,Soccer,154,140,4957,4035
2008/2009,SD,Soccer,0,0,0,0
2008/2009,TN,Soccer,246,236,6577,5542
2008/2009,TX,Soccer,544,535,27439,22106
2008/2009,UT,Soccer,95,90,3106,2741
2008/2009,VT,Soccer,50,49,1678,1596
2008/2009,VA,Soccer,277,272,9614,8217
2008/2009,WA,Soccer,238,235,8745,7838
2008/2009,WV,Soccer,72,69,1797,1626
2008/2009,WI,Soccer,256,249,9836,9613
2008/2009,WY,Soccer,21,21,728,772
2007/2008,AL,Soccer,140,116,3501,2973
2007/2008,AK,Soccer,35,33,1015,970
2007/2008,AZ,Soccer,187,178,6205,5298
2007/2008,AR,Soccer,84,81,1895,1618
2007/2008,CA,Soccer,1196,1182,44730,40895
2007/2008,CO,Soccer,176,189,6989,6923
2007/2008,CT,Soccer,175,154,7056,5877
2007/2008,DC,Soccer,7,5,143,120
2007/2008,DE,Soccer,45,48,1677,1295
2007/2008,FL,Soccer,476,491,13392,13418
2007/2008,GA,Soccer,308,310,9288,8492
2007/2008,HI,Soccer,53,53,1533,1666
2007/2008,ID,Soccer,66,63,1839,1756
2007/2008,IL,Soccer,406,381,17426,15919
2007/2008,IN,Soccer,278,240,8385,6538
2007/2008,IA,Soccer,140,126,5479,5383
2007/2008,KS,Soccer,180,92,3990,2975
2007/2008,KY,Soccer,174,188,5219,4997
2007/2008,LA,Soccer,145,137,1740,1507
2007/2008,ME,Soccer,131,135,4221,4117
2007/2008,MD,Soccer,175,172,6371,5797
2007/2008,MA,Soccer,348,308,13103,12530
2007/2008,MI,Soccer,475,441,14943,13879
