Year,State,Sport,Boys School,Girls School,Boys Participation,Girls Participation
2018/2019,AL,Lacrosse,0,0,0,0
2018/2019,AK,Lacrosse,0,0,0,0
2018/2019,AZ,Lacrosse,0,0,0,0
2018/2019,AR,Lacrosse,5,4,100,50
2018/2019,CA,Lacrosse,273,279,10189,9840
2018/2019,CO,Lacrosse,113,85,3179,1534
2018/2019,CT,Lacrosse,99,94,4035,3904
2018/2019,DC,Lacrosse,12,9,429,301
2018/2019,DE,Lacrosse,44,37,1545,981
2018/2019,FL,Lacrosse,214,208,7477,6158
2018/2019,GA,Lacrosse,115,112,4260,3632
2018/2019,HI,Lacrosse,0,0,0,0
2018/2019,ID,Lacrosse,0,0,0,0
2018/2019,IL,Lacrosse,89,64,4340,2950
2018/2019,IN,Lacrosse,0,0,0,0
2018/2019,IA,Lacrosse,0,0,0,0
2018/2019,KS,Lacrosse,0,0,0,0
2018/2019,KY,Lacrosse,20,21,687,854
2018/2019,LA,Lacrosse,0,0,0,0
2018/2019,ME,Lacrosse,56,56,1763,1572
2018/2019,MD,Lacrosse,165,159,6296,5591
2018/2019,MA,Lacrosse,259,237,8777,8585
2018/2019,MI,Lacrosse,163,120,5423,3195
2018/2019,MN,Lacrosse,132,123,3803,4056
2018/2019,MS,Lacrosse,0,0,0,0
2018/2019,MO,Lacrosse,0,39,0,1719
2018/2019,MT,Lacrosse,0,0,0,0
2018/2019,NE,Lacrosse,0,0,0,0
2018/2019,NV,Lacrosse,0,0,0,0
2018/2019,NH,Lacrosse,49,47,1858,1677
2018/2019,NJ,Lacrosse,209,218,9312,9841
2018/2019,NM,Lacrosse,0,0,0,0
2018/2019,NY,Lacrosse,334,314,14172,11964
2018/2019,NC,Lacrosse,110,83,4019,2533
2018/2019,ND,Lacrosse,0,0,0,0
2018/2019,OH,Lacrosse,148,136,6695,4287
2018/2019,OK,Lacrosse,0,0,0,0
2018/2019,OR,Lacrosse,0,0,0,0
2018/2019,PA,Lacrosse,209,229,6688,7328
2018/2019,RI,Lacrosse,36,36,1235,1325
2018/2019,SC,Lacrosse,43,44,2041,1525
2018/2019,SD,Lacrosse,0,0,0,0
2018/2019,TN,Lacrosse,0,0,0,0
2018/2019,TX,Lacrosse,0,0,0,0
2018/2019,UT,Lacrosse,0,0,0,0
2018/2019,VT,Lacrosse,21,19,645,513
2018/2019,VA,Lacrosse,108,104,4734,3835
2018/2019,WA,Lacrosse,0,0,0,0
2018/2019,WV,Lacrosse,0,0,0,0
2018/2019,WI,Lacrosse,0,0,0,0
2018/2019,WY,Lacrosse,0,0,0,0
2017/2018,AL,Lacrosse,0,0,0,0
2017/2018,AK,Lacrosse,0,0,0,0
2017/2018,AZ,Lacrosse,0,0,0,0
2017/2018,AR,Lacrosse,14,0,38,0
2017/2018,CA,Lacrosse,256,257,9684,8880
2017/2018,CO,Lacrosse,113,85,3714,1775
2017/2018,CT,Lacrosse,99,94,4118,3789
2017/2018,DC,Lacrosse,13,12,376,259
2017/2018,DE,Lacrosse,47,35,1613,1072
2017/2018,FL,Lacrosse,211,193,7355,5743
2017/2018,GA,Lacrosse,111,108,4142,3420
2017/2018,HI,Lacrosse,0,0,0,0
2017/2018,ID,Lacrosse,0,0,0,0
2017/2018,IL,Lacrosse,77,61,3787,3029
2017/2018,IN,Lacrosse,0,0,0,0
2017/2018,IA,Lacrosse,0,0,0,0
2017/2018,KS,Lacrosse,0,0,0,0
2017/2018,KY,Lacrosse,20,20,697,890
2017/2018,LA,Lacrosse,0,0,0,0
2017/2018,ME,Lacrosse,55,56,1834,1518
2017/2018,MD,Lacrosse,165,161,6378,5472
2017/2018,MA,Lacrosse,250,229,8973,8164
2017/2018,MI,Lacrosse,154,109,5161,2907
2017/2018,MN,Lacrosse,126,115,3761,3986
2017/2018,MS,Lacrosse,0,0,0,0
