Year,State,Sport,Boys School,Girls School,Boys Participation,Girls Participation
2017/2018,FL,Volleyball,184,722,2803,19319
2017/2018,GA,Volleyball,0,347,0,8485
2017/2018,HI,Volleyball,65,71,1524,1902
2017/2018,ID,Volleyball,0,150,0,3771
2017/2018,IL,Volleyball,207,695,6976,21961
2017/2018,IN,Volleyball,0,396,0,9438
2017/2018,IA,Volleyball,18,357,505,10806
2017/2018,KS,Volleyball,0,341,0,8372
2017/2018,KY,Volleyball,0,264,0,6221
2017/2018,LA,Volleyball,0,224,0,4809
2017/2018,ME,Volleyball,5,44,58,1043
2017/2018,MD,Volleyball,37,183,658,5229
2017/2018,MA,Volleyball,106,301,2544,9803
2017/2018,MI,Volleyball,0,715,0,19416
2017/2018,MN,Volleyball,0,465,0,16458
2017/2018,MS,Volleyball,0,101,0,2320
2017/2018,MO,Volleyball,44,431,1198,10441
2017/2018,MT,Volleyball,0,171,0,3412
2017/2018,NE,Volleyball,0,301,0,6714
2017/2018,NV,Volleyball,35,107,1093,2975
2017/2018,NH,Volleyball,14,59,294,1667
2017/2018,NJ,Volleyball,141,292,4068,10142
2017/2018,NM,Volleyball,0,153,2,3756
2017/2018,NY,Volleyball,166,699,3949,15726
2017/2018,NC,Volleyball,0,409,0,9565
2017/2018,ND,Volleyball,0,151,0,3126
2017/2018,OH,Volleyball,0,785,3616,17568
2017/2018,OK,Volleyball,0,124,0,3170
2017/2018,OR,Volleyball,0,282,0,7086
2017/2018,PA,Volleyball,212,592,3816,10656
2017/2018,RI,Volleyball,29,42,703,1356
2017/2018,SC,Volleyball,0,209,0,4926
2017/2018,SD,Volleyball,0,168,0,3534
2017/2018,TN,Volleyball,0,345,0,6767
2017/2018,TX,Volleyball,0,1326,0,47415
2017/2018,UT,Volleyball,0,138,0,3605
2017/2018,VT,Volleyball,2,4,15,86
2017/2018,VA,Volleyball,67,308,1231,8115
2017/2018,WA,Volleyball,0,379,0,11186
2017/2018,WV,Volleyball,0,117,0,2471
2017/2018,WI,Volleyball,56,473,1650,14801
2017/2018,WY,Volleyball,0,71,0,1867
2016/2017,AL,Volleyball,0,384,0,9878
2016/2017,AK,Volleyball,1,39,2,1214
2016/2017,AZ,Volleyball,80,260,1954,7926
2016/2017,AR,Volleyball,0,131,0,2899
2016/2017,CA,Volleyball,802,1404,19676,44526
2016/2017,CO,Volleyball,0,323,0,9446
2016/2017,CT,Volleyball,38,166,872,4882
2016/2017,DC,Volleyball,0,36,0,751
2016/2017,DE,Volleyball,10,56,154,1623
2016/2017,FL,Volleyball,172,701,2749,19788
2016/2017,GA,Volleyball,0,341,0,8211
2016/2017,HI,Volleyball,63,68,1568,1905
2016/2017,ID,Volleyball,0,150,0,3771
2016/2017,IL,Volleyball,199,697,6608,22157
2016/2017,IN,Volleyball,0,396,0,9438
2016/2017,IA,Volleyball,1,358,3,11722
2016/2017,KS,Volleyball,0,344,0,8611
2016/2017,KY,Volleyball,0,263,0,6272
2016/2017,LA,Volleyball,0,212,0,4600
2016/2017,ME,Volleyball,6,41,54,977
2016/2017,MD,Volleyball,51,184,674,5215
2016/2017,MA,Volleyball,105,298,2566,9808
2016/2017,MI,Volleyball,0,704,0,19067
2016/2017,MN,Volleyball,0,470,0,16379
2016/2017,MS,Volleyball,0,98,0,2300
2016/2017,MO,Volleyball,43,432,1235,10420
2016/2017,MT,Volleyball,0,172,0,3596
2016/2017,NE,Volleyball,0,301,0,6959
2016/2017,NV,Volleyball,33,103,1140,2975
2016/2017,NH,Volleyball,14,59,292,1627
2016/2017,NJ,Volleyball,139,292,3907,9791
2016/2017,NM,Volleyball,0,153,0,3708
2016/2017,NY,Volleyball,168,648,3788,15229
2016/2017,NC,Volleyball,0,408,0,9375
2016/2017,ND,Volleyball,0,152,0,3258
2016/2017,OH,Volleyball,111,801,2658,19275
2016/2017,OK,Volleyball,0,125,0,3426
2016/2017,OR,Volleyball,0,282,0,7123
2016/2017,PA,Volleyball,212,581,3816,10458
2016/2017,RI,Volleyball,27,42,592,1106
2016/2017,SC,Volleyball,0,208,0,5086
2016/2017,SD,Volleyball,0,169,0,3438
2016/2017,TN,Volleyball,0,339,0,6450
2016/2017,TX,Volleyball,0,1108,0,45938
2016/2017,UT,Volleyball,0,132,0,3470
2016/2017,VT,Volleyball,3,5,57,111
2016/2017,VA,Volleyball,68,311,1251,8154
2016/2017,WA,Volleyball,0,385,0,11293
2016/2017,WV,Volleyball,0,118,0,2367
2016/2017,WI,Volleyball,54,474,1593,14959
