Year,State,Sport,Boys School,Girls School,Boys Participation,Girls Participation
2018/2019,AL,Basketball,413,413,13648,8559
2018/2019,AK,Basketball,120,113,1920,1513
2018/2019,AZ,Basketball,260,259,8219,6322
2018/2019,AR,Basketball,286,274,5144,4000
2018/2019,CA,Basketball,1515,1464,48111,35902
2018/2019,CO,Basketball,336,333,11723,9045
2018/2019,CT,Basketball,183,181,5349,3718
2018/2019,DC,Basketball,46,41,1164,666
2018/2019,DE,Basketball,56,56,1604,1058
2018/2019,FL,Basketball,744,703,21652,13388
2018/2019,GA,Basketball,446,441,12593,8477
2018/2019,HI,Basketball,68,66,1791,1286
2018/2019,ID,Basketball,155,154,3831,3346
2018/2019,IL,Basketball,734,666,23674,16119
2018/2019,IN,Basketball,408,404,10767,7721
2018/2019,IA,Basketball,355,352,10964,7285
2018/2019,KS,Basketball,353,347,8788,6530
2018/2019,KY,Basketball,269,268,6938,5273
2018/2019,LA,Basketball,385,389,7848,5273
2018/2019,ME,Basketball,133,135,3423,2519
2018/2019,MD,Basketball,196,191,5341,4163
2018/2019,MA,Basketball,361,360,12719,9372
2018/2019,MI,Basketball,731,693,21119,15383
2018/2019,MN,Basketball,472,462,13840,12073
2018/2019,MS,Basketball,244,244,8620,8420
2018/2019,MO,Basketball,596,575,13752,9732
2018/2019,MT,Basketball,175,176,3282,2822
2018/2019,NE,Basketball,298,299,7091,5793
2018/2019,NV,Basketball,108,103,3469,2849
2018/2019,NH,Basketball,87,87,2456,1816
2018/2019,NJ,Basketball,411,411,14939,10051
2018/2019,NM,Basketball,153,153,3902,3478
2018/2019,NY,Basketball,745,712,19772,15500
2018/2019,NC,Basketball,416,412,11152,7649
2018/2019,ND,Basketball,161,157,2914,2152
2018/2019,OH,Basketball,791,791,22787,14878
2018/2019,OK,Basketball,472,471,9346,7079
2018/2019,OR,Basketball,288,286,7620,5824
2018/2019,PA,Basketball,719,698,21570,20940
2018/2019,RI,Basketball,50,50,1855,1199
2018/2019,SC,Basketball,215,214,6740,4517
2018/2019,SD,Basketball,171,169,3460,2612
2018/2019,TN,Basketball,399,392,8854,5978
2018/2019,TX,Basketball,1545,1519,60384,43264
2018/2019,UT,Basketball,139,137,3792,3098
2018/2019,VT,Basketball,35,35,966,682
2018/2019,VA,Basketball,315,315,9174,7278
2018/2019,WA,Basketball,377,373,11440,8736
2018/2019,WV,Basketball,124,124,3052,2094
2018/2019,WI,Basketball,487,471,14453,10027
2018/2019,WY,Basketball,71,71,1757,1608
2017/2018,AL,Basketball,413,413,13698,8475
2017/2018,AK,Basketball,146,155,2258,1744
2017/2018,AZ,Basketball,258,257,8551,6448
2017/2018,AR,Basketball,277,269,5446,4211
2017/2018,CA,Basketball,1462,1420,47584,34631
2017/2018,CO,Basketball,336,333,9204,7062
2017/2018,CT,Basketball,183,181,5374,3765
