Year,State,Sport,Boys School,Girls School,Boys Participation,Girls Participation
2017/2018,DC,Basketball,41,37,1045,526
2017/2018,DE,Basketball,59,59,1775,1137
2017/2018,FL,Basketball,742,704,22262,13648
2017/2018,GA,Basketball,444,438,13021,8777
2017/2018,HI,Basketball,66,66,1727,1267
2017/2018,ID,Basketball,154,151,3824,3349
2017/2018,IL,Basketball,739,671,24244,16399
2017/2018,IN,Basketball,407,403,11111,7839
2017/2018,IA,Basketball,355,354,11441,7414
2017/2018,KS,Basketball,352,349,8829,6625
2017/2018,KY,Basketball,270,268,7061,5313
2017/2018,LA,Basketball,381,386,7890,5431
2017/2018,ME,Basketball,138,140,3536,2662
2017/2018,MD,Basketball,195,190,5650,4368
2017/2018,MA,Basketball,359,356,12763,9124
2017/2018,MI,Basketball,730,691,21367,15659
2017/2018,MN,Basketball,472,469,13847,12206
2017/2018,MS,Basketball,247,244,8720,8420
2017/2018,MO,Basketball,560,541,14313,9971
2017/2018,MT,Basketball,174,175,3410,2837
2017/2018,NE,Basketball,299,300,7208,5882
2017/2018,NV,Basketball,107,103,3057,2387
2017/2018,NH,Basketball,87,87,2542,1890
2017/2018,NJ,Basketball,409,411,15365,10188
2017/2018,NM,Basketball,155,155,4111,3406
2017/2018,NY,Basketball,750,716,20078,15805
2017/2018,NC,Basketball,412,411,11063,7913
2017/2018,ND,Basketball,163,162,2977,2267
2017/2018,OH,Basketball,791,788,23111,15045
2017/2018,OK,Basketball,474,473,10093,7535
2017/2018,OR,Basketball,288,286,7620,5824
2017/2018,PA,Basketball,722,713,21660,21390
2017/2018,RI,Basketball,48,50,1847,1203
2017/2018,SC,Basketball,214,215,6720,4606
2017/2018,SD,Basketball,174,174,3567,2820
2017/2018,TN,Basketball,396,394,9034,6078
2017/2018,TX,Basketball,1523,1497,65977,53900
2017/2018,UT,Basketball,139,140,3883,3268
2017/2018,VT,Basketball,33,28,823,500
2017/2018,VA,Basketball,315,314,9387,7496
2017/2018,WA,Basketball,370,368,12023,9675
2017/2018,WV,Basketball,124,124,3140,2098
2017/2018,WI,Basketball,486,471,14343,10309
2017/2018,WY,Basketball,71,71,1793,1614
2016/2017,AL,Basketball,406,406,13000,8673
2016/2017,AK,Basketball,131,127,2160,1741
2016/2017,AZ,Basketball,260,259,8129,6586
2016/2017,AR,Basketball,271,252,5457,4154
2016/2017,CA,Basketball,1433,1391,46114,34222
2016/2017,CO,Basketball,336,333,9179,7082
2016/2017,CT,Basketball,184,184,5349,3870
2016/2017,DC,Basketball,40,37,1035,611
2016/2017,DE,Basketball,59,59,1653,1147
2016/2017,FL,Basketball,704,707,21858,14008
2016/2017,GA,Basketball,443,439,13012,9051
2016/2017,HI,Basketball,65,64,1736,1339
2016/2017,ID,Basketball,151,150,3870,3305
2016/2017,IL,Basketball,739,682,24335,16929
2016/2017,IN,Basketball,407,398,11200,7988
2016/2017,IA,Basketball,359,356,11106,7576
2016/2017,KS,Basketball,353,350,8881,6931
2016/2017,KY,Basketball,270,267,7097,5452
2016/2017,LA,Basketball,377,378,8047,5516
2016/2017,ME,Basketball,141,142,3623,2792
2016/2017,MD,Basketball,193,188,5501,4337
2016/2017,MA,Basketball,363,359,12698,9275
2016/2017,MI,Basketball,722,690,21263,15900
2016/2017,MN,Basketball,478,468,13725,12088
2016/2017,MS,Basketball,241,242,8520,8410
2016/2017,MO,Basketball,561,540,14259,10269
2016/2017,MT,Basketball,175,177,3506,3010
2016/2017,NE,Basketball,301,302,7162,6024
2016/2017,NV,Basketball,102,99,3106,2400
2016/2017,NH,Basketball,87,87,2452,1848
2016/2017,NJ,Basketball,409,413,15134,10227
2016/2017,NM,Basketball,155,155,4143,3644
2016/2017,NY,Basketball,766,738,20036,16007
2016/2017,NC,Basketball,407,407,10914,8022
2016/2017,ND,Basketball,162,158,2891,2244
2016/2017,OH,Basketball,801,804,22412,15446
2016/2017,OK,Basketball,475,474,10382,8101
2016/2017,OR,Basketball,282,276,7749,5921
2016/2017,PA,Basketball,722,713,21660,21390
2016/2017,RI,Basketball,48,50,1546,1009
2016/2017,SC,Basketball,212,212,6842,4809
2016/2017,SD,Basketball,175,173,3492,2748
2016/2017,TN,Basketball,394,395,8693,6115
2016/2017,TX,Basketball,1299,1298,70040,67400
2016/2017,UT,Basketball,139,133,3885,3128
2016/2017,VT,Basketball,35,35,966,682
2016/2017,VA,Basketball,314,313,9333,7517
2016/2017,WA,Basketball,387,387,11575,9112
2016/2017,WV,Basketball,125,125,3153,2173
2016/2017,WI,Basketball,485,472,14646,10617
2016/2017,WY,Basketball,70,70,1780,1522
2015/2016,AL,Basketball,406,406,13371,8757
2015/2016,AK,Basketball,271,271,2095,1730
2015/2016,AZ,Basketball,256,254,8070,6654
2015/2016,AR,Basketball,274,256,5587,4177
2015/2016,CA,Basketball,1455,1407,45677,34373
2015/2016,CO,Basketball,336,335,9058,7160
2015/2016,CT,Basketball,187,188,5491,3928
2015/2016,DC,Basketball,40,37,994,584
2015/2016,DE,Basketball,57,56,1528,1120
2015/2016,FL,Basketball,670,631,17499,11376
2015/2016,GA,Basketball,441,435,12872,8897
2015/2016,HI,Basketball,65,64,1719,1333
2015/2016,ID,Basketball,149,147,3805,3199
2015/2016,IL,Basketball,735,686,24524,17015
2015/2016,IN,Basketball,398,395,10903,8048
2015/2016,IA,Basketball,362,359,11249,7205
2015/2016,KS,Basketball,352,349,8982,7004
2015/2016,KY,Basketball,270,269,7144,5482
2015/2016,LA,Basketball,374,376,7987,5346
2015/2016,ME,Basketball,137,138,3550,2826
2015/2016,MD,Basketball,195,193,5591,4435
2015/2016,MA,Basketball,367,365,12599,9289
2015/2016,MI,Basketball,728,653,21509,15573
2015/2016,MN,Basketball,470,457,13542,12012
2015/2016,MS,Basketball,250,250,8625,8460
2015/2016,MO,Basketball,560,542,13997,10120
2015/2016,MT,Basketball,174,172,3382,2903
2015/2016,NE,Basketball,300,301,7276,5976
2015/2016,NV,Basketball,102,101,3044,2520
2015/2016,NH,Basketball,86,86,2400,1777
2015/2016,NJ,Basketball,405,410,14639,10055
2015/2016,NM,Basketball,154,154,4309,3734
2015/2016,NY,Basketball,758,725,20087,16302
2015/2016,NC,Basketball,401,403,10876,8182
2015/2016,ND,Basketball,166,162,3061,2256
2015/2016,OH,Basketball,791,744,23609,16118
2015/2016,OK,Basketball,473,473,10478,9247
2015/2016,OR,Basketball,275,274,7558,5765
2015/2016,PA,Basketball,719,711,21570,21330
2015/2016,RI,Basketball,49,49,1496,986
2015/2016,SC,Basketball,210,210,6935,4974
2015/2016,SD,Basketball,174,172,3559,2701
2015/2016,TN,Basketball,391,389,8824,6194
2015/2016,TX,Basketball,1299,1297,70675,68013
2015/2016,UT,Basketball,133,129,3775,3110
2015/2016,VT,Basketball,53,53,1042,842
2015/2016,VA,Basketball,314,311,9333,7730
2015/2016,WA,Basketball,383,385,11155,7839
2015/2016,WV,Basketball,122,124,3181,2164
2015/2016,WI,Basketball,481,466,14448,10955
2015/2016,WY,Basketball,70,70,1748,1604
2014/2015,AL,Basketball,408,407,12860,8349
2014/2015,AK,Basketball,149,133,2342,1843
2014/2015,AZ,Basketball,255,252,7969,6482
2014/2015,AR,Basketball,272,259,5133,4167
2014/2015,CA,Basketball,1395,1351,44829,34025
2014/2015,CO,Basketball,330,329,8764,7089
2014/2015,CT,Basketball,185,185,5454,3992
2014/2015,DC,Basketball,0,0,986,588
2014/2015,DE,Basketball,51,52,1585,1184
2014/2015,FL,Basketball,666,626,16656,10976
2014/2015,GA,Basketball,433,431,12262,9084
2014/2015,HI,Basketball,64,63,1723,1258
2014/2015,ID,Basketball,143,142,3561,2976
2014/2015,IL,Basketball,732,677,24240,17190
2014/2015,IN,Basketball,397,398,11004,8174
2014/2015,IA,Basketball,365,361,10921,7747
2014/2015,KS,Basketball,351,349,8803,6833
2014/2015,KY,Basketball,269,268,6465,5090
2014/2015,LA,Basketball,374,374,7938,5371
2014/2015,ME,Basketball,141,141,3558,2848
2014/2015,MD,Basketball,197,195,5651,4726
2014/2015,MA,Basketball,364,363,12569,9483
2014/2015,MI,Basketball,726,665,21401,15716
2014/2015,MN,Basketball,470,457,13342,11788
2014/2015,MS,Basketball,262,262,8575,8425
2014/2015,MO,Basketball,562,545,14115,10258
2014/2015,MT,Basketball,176,175,3453,2995
2014/2015,NE,Basketball,301,302,7396,6127
2014/2015,NV,Basketball,107,103,3291,2572
2014/2015,NH,Basketball,86,86,2509,1931
2014/2015,NJ,Basketball,425,406,14754,10145
2014/2015,NM,Basketball,157,154,4250,3695
2014/2015,NY,Basketball,759,731,20514,16997
2014/2015,NC,Basketball,400,399,10774,8117
2014/2015,ND,Basketball,163,160,2790,2245
2014/2015,OH,Basketball,791,744,23609,16118
2014/2015,OK,Basketball,478,478,10981,8467
2014/2015,OR,Basketball,283,278,7447,5712
2014/2015,PA,Basketball,722,712,21660,21360
2014/2015,RI,Basketball,49,50,1516,983
2014/2015,SC,Basketball,210,210,6722,4724
2014/2015,SD,Basketball,175,175,3487,2765
2014/2015,TN,Basketball,378,380,8709,6052
2014/2015,TX,Basketball,1307,1304,70668,68003
2014/2015,UT,Basketball,131,127,3661,2919
2014/2015,VT,Basketball,53,53,1042,842
2014/2015,VA,Basketball,311,311,9221,7569
2014/2015,WA,Basketball,375,368,11145,8591
2014/2015,WV,Basketball,125,125,3038,2095
2014/2015,WI,Basketball,479,467,14362,11276
2014/2015,WY,Basketball,70,70,1774,1542
2013/2014,AL,Basketball,409,409,11731,6184
2013/2014,AK,Basketball,143,128,2147,1830
2013/2014,AZ,Basketball,252,250,8159,6626
2013/2014,AR,Basketball,272,263,5497,4338
2013/2014,CA,Basketball,1380,1326,44100,33471
2013/2014,CO,Basketball,330,332,8922,7236
2013/2014,CT,Basketball,183,184,5333,4053
2013/2014,DC,Basketball,15,15,728,415
2013/2014,DE,Basketball,52,50,1552,993
2013/2014,FL,Basketball,673,643,16769,11220
2013/2014,GA,Basketball,433,431,12262,9084
2013/2014,HI,Basketball,63,61,1759,1213
2013/2014,ID,Basketball,155,154,3821,3170
2013/2014,IL,Basketball,737,679,24500,17560
2013/2014,IN,Basketball,403,402,11124,8280
2013/2014,IA,Basketball,366,361,11250,8026
2013/2014,KS,Basketball,354,350,8898,6827
2013/2014,KY,Basketball,270,269,6716,5447
2013/2014,LA,Basketball,374,373,7936,5519
2013/2014,ME,Basketball,140,140,3627,2915
2013/2014,MD,Basketball,198,194,5641,4665
2013/2014,MA,Basketball,362,360,12748,10039
2013/2014,MI,Basketball,727,676,21504,16329
2013/2014,MN,Basketball,472,457,13282,11697
2013/2014,MS,Basketball,259,259,8450,8450
2013/2014,MO,Basketball,567,548,14145,10318
2013/2014,MT,Basketball,175,176,3554,3086
2013/2014,NE,Basketball,303,304,7409,6207
2013/2014,NV,Basketball,98,96,3056,2443
2013/2014,NH,Basketball,86,86,2493,1951
2013/2014,NJ,Basketball,407,415,14816,10701
2013/2014,NM,Basketball,156,155,4234,3720
2013/2014,NY,Basketball,759,731,20514,16997
2013/2014,NC,Basketball,398,397,10694,8696
2013/2014,ND,Basketball,162,158,2915,2232
2013/2014,OH,Basketball,798,795,21898,17298
2013/2014,OK,Basketball,479,479,10391,7974
2013/2014,OR,Basketball,285,285,7493,5923
2013/2014,PA,Basketball,731,711,21930,21330
2013/2014,RI,Basketball,47,50,1446,1022
2013/2014,SC,Basketball,207,207,6802,4797
2013/2014,SD,Basketball,173,172,3557,2748
2013/2014,TN,Basketball,379,379,8956,6275
2013/2014,TX,Basketball,1307,1304,71477,68564
2013/2014,UT,Basketball,132,127,3595,2935
2013/2014,VT,Basketball,48,48,1377,1111
2013/2014,VA,Basketball,308,307,9325,7784
2013/2014,WA,Basketball,366,370,11062,8704
2013/2014,WV,Basketball,185,145,3067,2143
2013/2014,WI,Basketball,478,473,14606,11206
2013/2014,WY,Basketball,70,70,1786,1592
2012/2013,AL,Basketball,409,407,11720,6165
2012/2013,AK,Basketball,143,128,2140,1863
2012/2013,AZ,Basketball,247,245,8247,6745
2012/2013,AR,Basketball,216,211,4157,3379
2012/2013,CA,Basketball,1375,1327,43766,33411
2012/2013,CO,Basketball,330,331,8920,7153
2012/2013,CT,Basketball,178,179,5392,3980
2012/2013,DC,Basketball,15,15,356,205
2012/2013,DE,Basketball,50,50,1411,1029
2012/2013,FL,Basketball,666,631,14869,10658
2012/2013,GA,Basketball,432,428,12167,9033
2012/2013,HI,Basketball,63,61,1784,1110
2012/2013,ID,Basketball,147,145,3672,3151
2012/2013,IL,Basketball,739,684,24351,17413
2012/2013,IN,Basketball,401,398,11183,8304
2012/2013,IA,Basketball,368,363,11269,8272
2012/2013,KS,Basketball,350,347,9059,6987
2012/2013,KY,Basketball,272,272,6874,5359
2012/2013,LA,Basketball,374,371,7939,5555
2012/2013,ME,Basketball,142,141,3781,3039
2012/2013,MD,Basketball,194,192,5837,4690
2012/2013,MA,Basketball,359,358,12590,9864
2012/2013,MI,Basketball,738,683,22186,16587
2012/2013,MN,Basketball,469,454,13503,11601
2012/2013,MS,Basketball,264,264,8590,8541
2012/2013,MO,Basketball,570,553,14322,10502
2012/2013,MT,Basketball,176,177,3527,3068
2012/2013,NE,Basketball,303,303,7305,6253
2012/2013,NV,Basketball,103,100,3132,2585
2012/2013,NH,Basketball,86,86,2580,2045
2012/2013,NJ,Basketball,397,404,14193,10122
2012/2013,NM,Basketball,154,149,4239,3749
2012/2013,NY,Basketball,759,731,20514,16997
2012/2013,NC,Basketball,396,395,10618,8652
2012/2013,ND,Basketball,164,163,2836,2361
2012/2013,OH,Basketball,800,800,21989,17379
2012/2013,OK,Basketball,338,330,9993,8102
2012/2013,OR,Basketball,279,274,7326,5780
2012/2013,PA,Basketball,736,717,22080,21510
2012/2013,RI,Basketball,48,51,1520,1074
2012/2013,SC,Basketball,206,205,6781,4821
2012/2013,SD,Basketball,172,170,3564,2771
2012/2013,TN,Basketball,375,375,8842,6133
2012/2013,TX,Basketball,1311,1303,72200,69304
2012/2013,UT,Basketball,133,127,3588,3030
2012/2013,VT,Basketball,38,37,1067,852
2012/2013,VA,Basketball,312,309,9553,7571
2012/2013,WA,Basketball,380,380,11127,8933
2012/2013,WV,Basketball,125,124,2982,2161
2012/2013,WI,Basketball,483,476,15228,11638
2012/2013,WY,Basketball,71,69,1807,1633
2011/2012,AL,Basketball,407,405,11630,6075
2011/2012,AK,Basketball,150,126,2163,1807
2011/2012,AZ,Basketball,245,242,7854,6459
2011/2012,AR,Basketball,289,287,5491,4592
2011/2012,CA,Basketball,1393,1345,44040,35134
2011/2012,CO,Basketball,334,333,8936,7129
2011/2012,CT,Basketball,179,177,5339,4028
2011/2012,DC,Basketball,15,15,356,205
2011/2012,DE,Basketball,50,50,1399,1018
2011/2012,FL,Basketball,674,641,15761,11080
2011/2012,GA,Basketball,429,425,12262,9207
2011/2012,HI,Basketball,65,61,1840,1257
2011/2012,ID,Basketball,150,150,3915,3348
2011/2012,IL,Basketball,732,686,24437,17767
2011/2012,IN,Basketball,401,398,11439,8567
2011/2012,IA,Basketball,373,370,11272,8400
2011/2012,KS,Basketball,350,346,9103,7090
2011/2012,KY,Basketball,271,271,6843,5511
2011/2012,LA,Basketball,370,364,7907,5648
2011/2012,ME,Basketball,138,137,3727,3000
2011/2012,MD,Basketball,196,196,5618,4665
2011/2012,MA,Basketball,360,360,12213,10043
2011/2012,MI,Basketball,742,693,21966,17040
2011/2012,MN,Basketball,467,456,13481,11630
2011/2012,MS,Basketball,262,262,8541,6938
2011/2012,MO,Basketball,570,549,14148,10499
2011/2012,MT,Basketball,175,177,3605,3157
2011/2012,NE,Basketball,304,305,7579,6358
2011/2012,NV,Basketball,104,100,2980,2463
2011/2012,NH,Basketball,87,87,2551,2132
2011/2012,NJ,Basketball,397,401,12871,9504
2011/2012,NM,Basketball,156,156,3820,3325
2011/2012,NY,Basketball,759,731,20514,16997
2011/2012,NC,Basketball,391,391,10596,8568
2011/2012,ND,Basketball,165,163,2928,2394
2011/2012,OH,Basketball,810,810,22263,17596
2011/2012,OK,Basketball,481,481,7215,7215
2011/2012,OR,Basketball,279,277,7408,5965
2011/2012,PA,Basketball,736,721,22080,21630
2011/2012,RI,Basketball,47,50,1392,1073
2011/2012,SC,Basketball,206,205,6631,4837
2011/2012,SD,Basketball,171,170,3561,2805
2011/2012,TN,Basketball,373,375,8719,6303
2011/2012,TX,Basketball,1303,1297,72539,69873
2011/2012,UT,Basketball,130,129,3455,2993
2011/2012,VT,Basketball,37,37,1030,875
2011/2012,VA,Basketball,312,309,9476,7580
2011/2012,WA,Basketball,385,382,11132,8940
2011/2012,WV,Basketball,125,125,3022,2013
2011/2012,WI,Basketball,484,475,14483,11549
2011/2012,WY,Basketball,70,69,1758,1603
2010/2011,AL,Basketball,408,405,11755,6372
2010/2011,AK,Basketball,134,121,2166,1658
2010/2011,AZ,Basketball,246,242,12192,6484
2010/2011,AR,Basketball,277,271,5526,4633
2010/2011,CA,Basketball,1360,1305,43176,32839
2010/2011,CO,Basketball,332,333,8918,7306
2010/2011,CT,Basketball,177,177,5225,4005
2010/2011,DC,Basketball,15,15,356,205
2010/2011,DE,Basketball,52,52,1510,1030
2010/2011,FL,Basketball,636,600,14281,10288
2010/2011,GA,Basketball,415,409,11959,9154
2010/2011,HI,Basketball,65,61,1840,1257
2010/2011,ID,Basketball,149,148,3961,3423
2010/2011,IL,Basketball,729,677,24536,17933
2010/2011,IN,Basketball,402,397,11909,8878
2010/2011,IA,Basketball,378,375,11202,8407
2010/2011,KS,Basketball,352,348,9164,7168
2010/2011,KY,Basketball,264,264,6836,5852
2010/2011,LA,Basketball,372,367,7757,5792
2010/2011,ME,Basketball,145,142,3893,3138
2010/2011,MD,Basketball,192,191,5568,4674
2010/2011,MA,Basketball,363,364,12316,10202
2010/2011,MI,Basketball,745,695,22380,17368
2010/2011,MN,Basketball,462,457,13468,11144
2010/2011,MS,Basketball,262,262,8541,6938
2010/2011,MO,Basketball,570,552,13815,10317
2010/2011,MT,Basketball,177,175,3697,3129
2010/2011,NE,Basketball,308,309,7526,6456
2010/2011,NV,Basketball,104,100,3049,2508
2010/2011,NH,Basketball,88,87,2579,2136
2010/2011,NJ,Basketball,393,398,12741,9434
2010/2011,NM,Basketball,154,154,4260,3773
2010/2011,NY,Basketball,750,730,21798,18104
2010/2011,NC,Basketball,390,390,10493,8157
2010/2011,ND,Basketball,168,165,3086,2454
2010/2011,OH,Basketball,809,808,23621,18247
2010/2011,OK,Basketball,473,475,7095,7125
2010/2011,OR,Basketball,284,281,7591,6216
2010/2011,PA,Basketball,735,724,22050,21720
2010/2011,RI,Basketball,47,50,1405,1068
2010/2011,SC,Basketball,205,205,6626,4859
2010/2011,SD,Basketball,174,175,3596,2912
2010/2011,TN,Basketball,350,345,8838,6354
2010/2011,TX,Basketball,1478,1425,74675,70442
2010/2011,UT,Basketball,127,126,3349,3564
2010/2011,VT,Basketball,47,43,1259,1006
2010/2011,VA,Basketball,312,313,9564,7775
2010/2011,WA,Basketball,389,384,11225,9009
2010/2011,WV,Basketball,130,128,3111,2213
2010/2011,WI,Basketball,487,478,16643,12263
2010/2011,WY,Basketball,69,69,1717,1544
2009/2010,AL,Basketball,413,408,11899,5478
2009/2010,AK,Basketball,134,122,2188,1667
2009/2010,AZ,Basketball,246,242,8359,6955
2009/2010,AR,Basketball,277,271,5526,4633
2009/2010,CA,Basketball,1300,1245,42521,32980
2009/2010,CO,Basketball,328,325,8396,6934
2009/2010,CT,Basketball,178,176,5154,4044
2009/2010,DC,Basketball,15,15,356,205
2009/2010,DE,Basketball,50,51,1456,1061
2009/2010,FL,Basketball,582,598,14172,10304
2009/2010,GA,Basketball,415,409,11959,9154
2009/2010,HI,Basketball,70,65,1832,1237
2009/2010,ID,Basketball,148,144,3939,3378
2009/2010,IL,Basketball,734,697,23855,17584
2009/2010,IN,Basketball,403,397,12032,9017
2009/2010,IA,Basketball,381,380,11133,8566
2009/2010,KS,Basketball,355,349,9111,7130
2009/2010,KY,Basketball,264,264,6836,5852
2009/2010,LA,Basketball,372,365,6103,5541
2009/2010,ME,Basketball,146,143,3945,3203
2009/2010,MD,Basketball,190,191,5619,4707
2009/2010,MA,Basketball,362,362,12155,10047
2009/2010,MI,Basketball,743,702,22550,17580
2009/2010,MN,Basketball,470,463,13491,11643
2009/2010,MS,Basketball,261,261,8525,6926
2009/2010,MO,Basketball,574,557,14230,10695
2009/2010,MT,Basketball,174,175,3622,3193
2009/2010,NE,Basketball,308,309,7782,6535
2009/2010,NV,Basketball,104,100,3128,2556
2009/2010,NH,Basketball,88,88,2563,3194
2009/2010,NJ,Basketball,395,401,12667,9448
2009/2010,NM,Basketball,154,154,4260,3773
2009/2010,NY,Basketball,743,741,21957,17750
2009/2010,NC,Basketball,386,386,10327,8215
2009/2010,ND,Basketball,168,165,2994,2433
2009/2010,OH,Basketball,808,808,24105,17342
2009/2010,OK,Basketball,416,416,7200,7200
2009/2010,OR,Basketball,283,279,7703,6238
2009/2010,PA,Basketball,730,724,21900,21720
2009/2010,RI,Basketball,47,49,1465,1066
2009/2010,SC,Basketball,202,201,6711,5102
2009/2010,SD,Basketball,174,173,3721,2936
2009/2010,TN,Basketball,367,370,8682,6463
2009/2010,TX,Basketball,1478,1425,74675,70442
2009/2010,UT,Basketball,127,126,3653,2937
2009/2010,VT,Basketball,44,43,1214,1091
2009/2010,VA,Basketball,307,307,9535,7876
2009/2010,WA,Basketball,373,380,11202,9166
2009/2010,WV,Basketball,131,131,3215,2397
2009/2010,WI,Basketball,479,487,16946,12479
2009/2010,WY,Basketball,72,71,1638,1477
2008/2009,AL,Basketball,408,403,11755,5411
2008/2009,AK,Basketball,154,144,2239,1858
2008/2009,AZ,Basketball,251,246,7917,6758
2008/2009,AR,Basketball,283,272,6187,4759
2008/2009,CA,Basketball,1300,1245,42521,32980
2008/2009,CO,Basketball,327,326,8710,7211
2008/2009,CT,Basketball,177,178,5185,4065
2008/2009,DC,Basketball,15,15,356,205
2008/2009,DE,Basketball,52,52,1379,1011
2008/2009,FL,Basketball,625,597,13796,10390
2008/2009,GA,Basketball,396,394,11770,9177
2008/2009,HI,Basketball,68,62,1833,1286
2008/2009,ID,Basketball,149,147,4035,3389
2008/2009,IL,Basketball,736,690,24217,18178
2008/2009,IN,Basketball,402,397,12052,8980
2008/2009,IA,Basketball,385,383,11632,8952
2008/2009,KS,Basketball,354,353,9306,7282
2008/2009,KY,Basketball,264,264,6836,5852
2008/2009,LA,Basketball,379,378,5848,5536
2008/2009,ME,Basketball,147,149,4030,3378
2008/2009,MD,Basketball,186,187,5455,4624
2008/2009,MA,Basketball,358,358,12072,10125
2008/2009,MI,Basketball,745,714,23233,18187
2008/2009,MN,Basketball,467,458,13405,11276
2008/2009,MS,Basketball,267,267,9826,6941
2008/2009,MO,Basketball,568,548,15590,13250
2008/2009,MT,Basketball,180,179,3669,3177
2008/2009,NE,Basketball,309,310,7887,6638
2008/2009,NV,Basketball,104,100,3128,2556
2008/2009,NH,Basketball,89,88,2571,2107
2008/2009,NJ,Basketball,409,403,12928,9618
2008/2009,NM,Basketball,156,156,4464,3981
2008/2009,NY,Basketball,743,741,21957,17750
2008/2009,NC,Basketball,380,381,10167,8119
2008/2009,ND,Basketball,169,164,3085,2547
2008/2009,OH,Basketball,811,812,24072,17806
2008/2009,OK,Basketball,481,481,9001,8125
2008/2009,OR,Basketball,288,287,7473,6421
2008/2009,PA,Basketball,733,725,21990,21750
2008/2009,RI,Basketball,47,49,1439,1082
2008/2009,SC,Basketball,200,200,6584,4962
2008/2009,SD,Basketball,172,170,3707,2898
2008/2009,TN,Basketball,363,364,9200,6537
2008/2009,TX,Basketball,1270,1266,75248,71218
2008/2009,UT,Basketball,122,119,3304,2776
2008/2009,VT,Basketball,48,48,1271,1165
2008/2009,VA,Basketball,309,308,9568,7951
2008/2009,WA,Basketball,340,326,10432,8001
2008/2009,WV,Basketball,129,130,3258,2417
2008/2009,WI,Basketball,484,477,15798,12482
2008/2009,WY,Basketball,70,71,1759,1664
2007/2008,AL,Basketball,405,401,11669,5384
2007/2008,AK,Basketball,158,145,2418,2053
2007/2008,AZ,Basketball,251,246,7917,6758
2007/2008,AR,Basketball,299,289,6373,5221
2007/2008,CA,Basketball,1334,1275,44722,34991
2007/2008,CO,Basketball,324,322,8763,7359
2007/2008,CT,Basketball,178,178,5182,4059
2007/2008,DC,Basketball,15,15,356,205
2007/2008,DE,Basketball,50,49,1395,968
2007/2008,FL,Basketball,629,604,14028,10447
2007/2008,GA,Basketball,396,394,11770,9177
2007/2008,HI,Basketball,69,66,1786,1288
2007/2008,ID,Basketball,143,142,3904,3342
2007/2008,IL,Basketball,730,681,23846,17804
2007/2008,IN,Basketball,401,391,12788,9378
2007/2008,IA,Basketball,389,383,13083,10031
2007/2008,KS,Basketball,344,342,9150,7257
2007/2008,KY,Basketball,264,264,6836,5852
