Rank,Sport,Schools
1,Basketball,17881
2,Track and Field Ð Outdoor,16997
3,Volleyball,16610
4,Cross Country,15551
5,Softball Ð Fast Pitch,15406
6,Soccer,12100
7,Golf,10734
8,Tennis,10564
9,Swimming & Diving,7937
10,Competitive Spirit,7216
