Rank,Sport,Participants
1,Football Ð 11-Player,1028761
2,Track and Field Ð Outdoor,604983
3,Basketball,537438
4,Baseball,478451
5,Soccer,450455
6,Wrestling,259431
7,Cross Country,240201
8,Tennis,158306
9,Golf,150175
10,Swimming & Diving,116741
