Rank,Sport,Schools
1,Basketball,18369
2,Track and Field Ð Outdoor,17038
3,Baseball,15978
4,Cross Country,15867
5,Football Ð 11-Player,13670
6,Golf,13505
7,Soccer,12484
8,Wrestling,10962
9,Tennis,7673
10,Swimming & Diving,7831
