State,Baseball_Schools,Baseball_Participants,Basketball_Schools,Basketball_Participants,Bowling_Schools,Bowling_Participants,Cross_Country_Schools,Cross_Country_Participants,Football_11_Schools,Football_11_Participants,Football_8_Schools,Football_8_Participants,Golf_Schools,Golf_Participants,Hockey_Schools,Hockey_Participants,Lacrosse_Schools,Lacrosse_Participants,Soccer_Schools,Soccer_Participants,Swimming_Schools,Swimming_Participants,Tennis_Schools,Tennis_Participants,Indoor_Track_Schools,Indoor_Track_Participation,Outdoor_Track_Schools,Outdoor_Track_Participation,Volleyball_Schools,Volleyball_Participation,Wrestling_Schools,Wrestling_Participation
South Carolina,202,6856,213,6365,,,162,2937,203,18585,,,153,1613,,,46,2360,182,6740,92,1226,113,1551,,,189,9108,42,647,57,5928
South Dakota,,,166,3433,,,144,990,72,3505,,,133,1110,,,,,36,796,,,25,462,,,162,3864,,,119,1272
Tennessee,368,9019,397,8394,143,1492,332,3777,347,22156,,,319,8644,,,,,314,8785,,,268,2531,,,319,8644,,,185,4455
Texas,1203,52932,1371,61695,,,1365,25842,1103,170965,,,1237,14517,,,,,739,46099,553,9785,1182,22752,,,1374,72398,,,384,13070
Utah,132,3724,145,4077,,,136,3280,112,9988,8,92,125,1891,,,58,2660,115,4434,95,2077,97,2154,,,133,6832,,,119,3679
Vermont,32,597,32,697,5,28,30,271,19,545,,,21,154,15,193,18,448,35,685,,,9,125,16,126,26,410,6,214,11,13
Virginia,312,9005,317,9193,,,300,5109,307,23176,,,290,2565,,,122,5105,295,10746,230,3669,245,2870,264,8912,313,12361,64,1239,279,6878
Washington,313,9705,359,11046,,,313,6559,271,19503,45,874,282,3532,,,,,280,11791,164,3446,234,5655,,,339,15558,,,278,7850
West Virginia,115,2660,121,3012,,,96,935,113,5451,,,99,1018,,,,,81,2088,48,407,70,605,,,111,3086,,,89,1748
Wisconsin,443,12459,484,14548,,,426,5926,380,22234,57,1137,372,5525,86,2516,,,284,9475,116,2130,191,3361,,,458,14064,60,1615,342,6316
Wyoming,,,67,1738,,,45,580,38,2194,,,38,613,,,,,27,1005,24,416,16,321,30,734,68,1828,,,51,1204
