Rank,Sport,Participants
1,Track and Field Ð Outdoor,486355
2,Volleyball,470488
3,Soccer,377838
4,Basketball,373366
5,Softball Ð Fast Pitch,344952
6,Cross Country,197630
7,Tennis,191036
8,Competitive Spirit,149694
9,Swimming & Diving,140711
10,Lacrosse,98014
