Rank,State,Boys,Girls,Total
1,Texas,496734,330712,827446
2,California,450431,337266,787697
3,New York,195792,161011,356803
4,Illinois,195000,140801,335801
5,Pennsylvania,167050,149537,316587
6,Ohio,186139,126978,313117
7,Florida,166400,130989,297389
8,New Jersey,157568,114591,272159
9,Michigan,156501,111569,268070
10,Minnesota,119352,99742,219094
11,Massachusetts,121853,92609,214462
12,Georgia,119451,80897,200348
13,North Carolina,112573,67803,180376
14,Alabama,109519,70021,179540
15,Virginia,102023,74643,176666
16,Wisconsin,101306,70622,171928
17,Washington,96230,72950,169180
18,Missouri,97775,68115,165890
19,Indiana,91953,62362,154315
20,Colorado,77127,75342,152469
21,Iowa,76767,53752,130519
22,Arizona,75379,54889,130268
23,Tennessee,77934,42562,120496
24,Maryland,66294,52822,119116
25,Mississippi,66567,50826,117393
26,Kentucky,60204,49593,109797
27,Connecticut,60215,48012,108227
28,Louisiana,68319,39908,108227
29,Oklahoma,59289,46492,105781
30,Kansas,60448,42615,103063
31,South Carolina,63311,35214,98525
32,Oregon,54954,43105,98059
33,Arkansas,46587,34627,81214
34,Utah,45835,35037,80872
35,Nebraska,46198,32747,78945
36,Idaho,30596,20877,51473
37,New Mexico,27968,22776,50744
38,Maine,26252,21529,47781
39,Nevada,24188,17963,42151
40,New Hampshire,22451,18227,40678
41,West Virginia,21011,15073,36084
42,Hawaii,20048,14671,34719
43,Montana,18548,14613,33161
44,Rhode Island,18510,13883,32393
45,South Dakota,17289,14461,31750
46,Delaware,14795,11170,25965
47,North Dakota,14991,10234,25225
48,Wyoming,11617,10024,21641
49,Alaska,8481,6959,15440
50,Vermont,5044,4676,9720
51,District of Columbia,1893,1176,3069
