Year,Sport,Category,States_Reporting_Boys,States_Reporting_Girls,Boys_Schools,Boys_Participants,Girls_Schools,Girls_Participants,Combined_Participants
2022-23,Basketball,Adapted Sports,14,14,61,470,55,314,784
2022-23,Bocce Ð Indoor,Adapted Sports,14,14,145,930,140,919,1849
2022-23,Bowling,Adapted Sports,14,14,122,923,126,690,1613
2022-23,Corn Toss,Adapted Sports,14,14,8,32,8,24,56
2022-23,Cross Country,Adapted Sports,14,14,2,,2,1,1
2022-23,Floor Hockey,Adapted Sports,14,14,64,299,64,172,471
2022-23,Football,Adapted Sports,14,14,7,24,6,21,45
2022-23,Golf,Adapted Sports,14,14,12,41,8,24,65
2022-23,Handball,Adapted Sports,14,14,9,79,7,30,109
2022-23,Soccer,Adapted Sports,14,14,94,583,94,349,932
2022-23,Softball,Adapted Sports,14,14,105,591,104,385,976
2022-23,Strength Training,Adapted Sports,14,14,8,77,10,57,134
2022-23,Swimming,Adapted Sports,14,14,14,18,14,13,31
2022-23,Tennis,Adapted Sports,14,14,54,316,63,332,648
2022-23,Track and Field,Adapted Sports,14,14,121,479,95,395,874
2022-23,Volleyball,Adapted Sports,14,14,3,49,2,37,86
2022-23,Air Riflery,,3,3,170,1184,158,859,2043
2022-23,Archery,,6,5,393,5240,390,5248,10488
2022-23,Badminton,,5,7,262,5445,525,13446,18891
2022-23,Baseball,,49,31,15978,478451,1515,1561,480012
2022-23,Basketball,,51,51,18369,537438,17881,373366,910804
2022-23,Bass Fishing,,9,8,727,5643,172,366,6009
2022-23,Bocce Ð Outdoor,,1,1,3,20,2,420,40
2022-23,Bowling,,26,26,3212,33908,3128,27454,61362
2022-23,Canoe Paddling,,1,1,61,1187,63,1110,2297
2022-23,Competitive Spirit,,24,29,852,4126,7216,149694,153820
2022-23,Crew/Rowing,,4,4,46,1323,49,1369,2692
2022-23,Cross Country,,51,51,15867,240201,15551,197630,437831
2022-23,Cycling,,3,3,5,48,5,27,75
2022-23,Dance,,9,10,171,874,1100,24224,25098
2022-23,Dance Team High Kick,,2,4,205,90,270,4701,4791
2022-23,Dance Team Jazz,,6,6,232,120,339,5481,5601
2022-23,Dance/Drill,,4,5,24,67,228,3621,3688
2022-23,Decathlon,,5,4,70,312,32,223,535
2022-23,Drill Team,,3,4,35,180,175,3866,4046
2022-23,Equestrian,,1,2,4,66,34,247,313
2022-23,Esports,,18,16,1532,20001,1006,3921,23922
2022-23,Fencing,,4,4,118,2140,118,1980,4120
2022-23,Field Hockey,,4,18,3,139,1726,52962,53101
2022-23,Figure Skating,,0,2,,,2,3,3
2022-23,Flag Football,,2,9,51,1105,913,20875,21980
2022-23,Football Ð 11-Player,,51,39,13670,1028761,2260,3654,1032415
2022-23,Football Ð 6-Player,,9,5,358,6642,70,15,6657
2022-23,Football Ð 8-Player,,22,12,1084,23669,78,143,23812
2022-23,Football Ð 9-Player,,5,5,281,4990,8,26,5016
2022-23,Golf,,50,50,13505,150175,10734,80970,231145
2022-23,Gymnastics,,8,26,100,986,1628,15523,16509
2022-23,Heptathlon,,1,2,5,14,43,78,92
2022-23,Ice Hockey,,18,17,1601,33013,713,8601,41614
2022-23,Judo,,1,1,45,711,42,530,1241
2022-23,Kayaking,,1,1,1,2,1,3,5
2022-23,Lacrosse,,26,27,3086,111108,3164,98014,209122
2022-23,Martial Arts,,1,1,2,8,2,3,11
2022-23,Mixed 6ÐCoed Volleyball,,2,2,31,103,32,189,292
2022-23,Mt. Biking,,4,4,59,811,46,252,1063
2022-23,Native Youth Olympics,,1,1,60,209,60,199,408
2022-23,Other Sports,,5,5,41,318,324,6461,6779
2022-23,Riflery,,8,8,219,1639,184,1122,2761
2022-23,Rock Climbing,,1,1,7,59,6,52,111
2022-23,Rodeo,,2,2,15,38,17,41,79
2022-23,Roller Hockey,,1,1,14,143,9,39,182
2022-23,Rugby,,2,2,54,1838,25,543,2381
2022-23,Sailing,,2,2,27,207,26,141,348
2022-23,Skiing Ð Alpine,,11,11,622,5850,635,5358,11208
2022-23,Skiing Ð Cross Country,,10,10,317,3847,316,3880,7727
2022-23,Snowboarding,,3,3,37,332,29,236,568
2022-23,Soccer,,51,51,12484,450455,12100,377838,828293
2022-23,Soft Tennis,,2,2,16,169,16,160,329
2022-23,Softball Ð Fast Pitch,,6,51,14,264,15406,344952,345216
2022-23,Softball Ð Slow Pitch,,2,6,2,11,370,6058,6069
2022-23,Squash,,1,1,3,19,3,15,34
2022-23,Surfing,,2,2,54,933,48,495,1428
2022-23,Swimming & Diving,,48,48,7673,116741,7937,140711,257452
2022-23,Synchronized Swimming,,1,2,1,13,28,309,322
2022-23,Tennis,,51,51,10116,158306,10564,191036,349342
2022-23,Track and Field Ð Indoor,,18,18,3066,77710,3045,66907,144617
2022-23,Track and Field Ð Outdoor,,51,51,17038,604983,16997,486355,1091338
2022-23,Trap Shooting,,2,2,427,8297,402,2295,10592
2022-23,Ultimate Frisbee,,4,4,37,347,29,141,488
2022-23,Unified Basketball,,13,12,628,9836,530,6974,16810
2022-23,Unified Bass Fishing,,1,0,1,2,,,2
2022-23,Unified Bocce,,1,1,12,69,11,53,122
2022-23,Unified Bowling,,9,9,281,3952,265,3239,7191
2022-23,Unified Cheer,,2,2,6,21,14,127,148
2022-23,Unified Cross Country,,1,1,4,54,3,65,119
2022-23,Unified Flag Football,,3,3,57,804,48,510,1314
2022-23,Unified Golf,,1,1,3,40,3,50,90
2022-23,Unified Soccer,,4,4,141,1747,117,1504,3251
2022-23,Unified Softball,,1,1,5,136,5,130,266
2022-23,Unified Tennis,,1,1,3,34,3,59,93
2022-23,Unified Track and Field Ð Outdoor,,17,17,624,6086,566,5217,11303
