Rank,Sport,Schools
1,Basketball,18090
2,Track and Field – Outdoor,17267
3,Volleyball,16849
4,Softball – Fast Pitch,15635
5,Cross Country,15228
6,Soccer,12307
7,Golf,11089
8,Tennis,10645
9,Swimming & Diving,8133
10,Competitive Spirit,7827
