State,Basketball_Schools,Basketball_Participants,Bowling_Schools,Bowling_Participants,Competitive_Spirit_Schools,Competitive_Spirit_Participants,Cross_Country_Schools,Cross_Country_Participants,Field_Hockey_Schools,Field_Hockey_Participants,Football_Schools,Football_Participants,Golf_Schools,Golf_Participants,Gymnastics_Schools,Gymnastics_Participants,Ice_Hockey_Schools,Ice_Hockey_Participants,Lacrosse_Schools,Lacrosse_Participants,Soccer_Schools,Soccer_Participants,Softball_Schools,Softball_Participants,Swimming_Schools,Swimming_Participants,Tennis_Schools,Tennis_Participants,Track_Indoor_Schools,Track_Indoor_Participants,Track_Outdoor_Schools,Track_Outdoor_Participants,Volleyball_Schools,Volleyball_Participants,Wrestling_Schools,Wrestling_Participants
Alabama,420,8003,113,956,380,8412,308,3321,,,5,5,273,1180,,,,,,,220,6754,401,11382,130,942,186,2486,210,3518,381,8705,418,11041,105,636
Alaska,110,1400,8,62,22,230,98,916,,,22,5,,,8,51,5,5,,,30,695,26,452,33,351,20,181,,,51,1050,67,2083,42,208
Arizona,271,6040,,,232,6208,240,2400,,,,,77,127,,1152,,,,,203,6968,249,6240,166,2602,189,2879,,,254,7349,277,8980,200,1522
Arkansas,301,5018,89,713,146,2852,206,1789,,,5,5,209,931,3,31,,4,65,114,2810,267,4628,60,518,142,1509,80,1105,284,4544,186,5851,58,583
California,1386,28950,1,4,840,22182,1332,19080,108,3567,196,359,936,8913,68,540,2,43,310,10162,1367,47631,1197,29483,953,21525,1010,21864,,,1281,44774,1486,46851,815,7921
Colorado,360,6939,,,250,3413,,,16,643,,40,162,1936,35,577,,38,57,1752,241,8064,177,3760,128,3809,154,4683,,,325,7995,357,10880,118,1114
Connecticut,182,3523,,,155,2182,177,2134,82,2758,,64,99,687,88,398,,15,99,3538,166,5133,176,3523,102,2032,149,3151,168,4190,177,6218,170,5190,,231
Delaware,55,889,,,,,53,694,49,1312,,11,,94,,,,,36,943,54,1462,45,973,41,649,37,571,38,739,46,1083,56,1569,,55
District of Columbia,37,542,11,51,25,562,31,369,6,191,,,3,18,,,2,71,8,243,23,565,22,368,14,167,21,221,25,380,40,669,4,773,4,24
Florida,713,11482,251,1598,303,5013,645,6467,,,,,504,2563,,,,,224,5834,628,16547,604,11044,479,6130,534,5327,,,677,15975,705,19667,309,1778
Georgia,423,7484,,,221,4765,409,5500,,,,,335,1978,78,678,,,112,3327,389,10445,397,7594,263,3928,381,4922,,,431,12664,372,9649,265,1560
Hawaii,64,1288,49,368,49,685,67,801,,,19,28,53,270,,,,,,,58,1577,53,1222,62,708,60,857,,,67,1744,72,2057,52,542
Idaho,158,3097,,,91,1770,128,1470,,,12,20,104,751,,,,,,,86,2177,106,2169,57,701,61,1365,,,151,4071,160,4061,94,715
Illinois,686,13647,249,2853,355,6020,544,7933,,,,,466,3914,75,1281,,,89,3861,415,14602,590,11969,269,5002,321,8297,,,642,20444,705,22039,367,2093
Indiana,397,7060,,,,,373,4067,,,,,326,2624,79,488,,,,,276,7641,374,8543,249,3698,313,6674,,,402,11749,403,9661,178,1207
Iowa,349,6179,116,1218,,,346,4141,,,40,67,322,3072,,,,,,,164,5246,337,7500,53,1461,119,3478,,,349,10053,357,11532,204,2935
Kansas,345,5908,90,864,341,4561,294,2438,,,13,15,150,1418,13,94,,,,,115,3760,256,4866,106,1774,145,3145,,,344,7786,350,8704,214,2366
Kentucky,266,4989,104,868,245,5166,246,2371,19,655,,43,212,1220,,,,,35,1091,200,6025,252,5247,151,1837,222,3079,131,876,262,5783,272,7145,102,992
Louisiana,391,5486,96,463,,,,,,,5,5,226,386,76,210,,,,,187,4260,366,6087,164,1206,169,2099,305,1735,386,8097,269,5845,12,15
Maine,114,2045,1,1,65,851,91,804,71,1540,14,17,41,102,,,50,350,55,1389,115,3030,98,1920,50,465,53,1242,70,1249,98,2215,49,1341,43,131
Maryland,192,3901,7,33,113,4328,181,2352,118,3339,19,28,123,387,8,100,3,12,150,4840,176,5413,184,4283,113,1988,176,2491,191,4810,196,6368,192,5586,152,769
Massachusetts,364,8095,,,,,316,4531,213,6295,,52,45,745,116,1181,207,2082,244,7529,353,11643,345,7924,239,3139,246,4669,284,8703,338,13227,317,10892,,347
Michigan,671,13119,385,2767,331,6172,609,6729,39,1090,,143,378,4023,81,529,40,311,127,3271,455,11879,610,11544,270,4774,324,8938,51,432,672,17325,717,19119,337,1216
Minnesota,478,9447,,,,,461,4613,,,96,384,3957,208,1922,251,3320,132,3665,263,8328,435,10274,217,4669,234,6117,,,490,15759,473,15053,,1004
Mississippi,243,8342,50,538,240,8341,170,2612,,,15,30,124,603,,,,,,,147,4620,235,6308,66,715,140,1820,,,243,6100,214,8538,20,80
Missouri,563,8589,10,17,,,444,3972,34,1021,328,72,248,2341,,,,,41,1520,252,7875,502,8682,149,2755,192,4725,,,543,13389,465,11024,236,2639
Montana,178,2730,,,,,121,954,,,79,11,129,600,,,,,,,39,889,81,1190,28,322,66,1001,,,182,2875,182,3418,96,581
Nebraska,304,4941,70,546,,,267,1984,,,,,155,1384,,,,,,,86,2587,155,2581,70,881,79,1770,,,303,7284,305,6801,206,1704
