State,Basketball_Schools,Basketball_Participants,Bowling_Schools,Bowling_Participants,Competitive_Spirit_Schools,Competitive_Spirit_Participants,Cross_Country_Schools,Cross_Country_Participants,Field_Hockey_Schools,Field_Hockey_Participants,Football_Schools,Football_Participants,Golf_Schools,Golf_Participants,Gymnastics_Schools,Gymnastics_Participants,Ice_Hockey_Schools,Ice_Hockey_Participants,Lacrosse_Schools,Lacrosse_Participants,Soccer_Schools,Soccer_Participants,Softball_Schools,Softball_Participants,Swimming_Schools,Swimming_Participants,Tennis_Schools,Tennis_Participants,Track_Indoor_Schools,Track_Indoor_Participants,Track_Outdoor_Schools,Track_Outdoor_Participants,Volleyball_Schools,Volleyball_Participants,Wrestling_Schools,Wrestling_Participants
Nevada,112,2210,38,267,,,83,668,,,,,68,410,,,,,,,72,2274,96,1890,63,904,62,785,,,104,2791,117,3216,71,408
New Hampshire,86,1658,17,74,40,972,75,752,54,1431,,22,67,85,34,239,17,355,49,1456,79,2399,81,1589,45,445,52,904,60,1062,78,2017,59,1905,,82
New Jersey,420,9283,158,1891,,,386,5155,227,6964,,324,119,2396,60,868,20,567,225,8721,368,13118,386,10155,209,5416,330,6997,358,10603,385,17654,323,11931,,1669
New Mexico,155,3332,26,127,83,1827,128,1186,,,92,39,90,414,,,,,,,78,1884,104,2367,49,584,58,754,,,156,3498,153,4172,65,654
New York,734,14044,350,2760,405,7854,593,5977,216,5712,,244,285,2454,115,998,70,570,361,11269,680,18434,706,13708,346,4879,424,7821,465,11366,667,18990,657,15697,104,1259
North Carolina,429,7663,,,,,382,4279,,,,,282,1573,,,,,101,2726,396,10507,402,7017,306,4487,340,4318,306,5912,409,11409,432,10303,248,1432
North Dakota,162,1957,,,,,118,662,,,,,133,672,27,82,47,235,,,31,649,107,1174,31,393,27,560,,,157,2464,155,3149,108,373
Ohio,814,16048,482,3856,,,760,15200,45,1350,,,616,3500,167,830,,,148,5577,554,12144,771,16962,446,3115,404,4848,,,822,24660,806,14508,365,4380
Oklahoma,466,6938,,,297,5824,337,2895,,,,,228,1445,,,,,,,129,3697,418,6819,68,620,108,1595,,,439,5971,140,3742,153,1519
Oregon,289,5462,,,150,2616,237,2405,,,1,1,175,1114,,,,,,,179,5652,237,4315,137,2073,137,3380,,,286,7901,289,7807,190,1528
Pennsylvania,710,21300,169,1690,342,6840,597,11940,279,8370,,6,257,1799,36,360,,,234,8190,537,18795,635,20320,349,10470,381,4572,205,3075,619,24760,624,12480,214,2140
Rhode Island,49,1138,,,26,423,46,620,18,559,,22,39,154,14,225,29,180,35,1239,48,1615,46,1049,30,513,42,941,44,1387,48,1800,48,1828,,93
South Carolina,210,4275,,,,,151,2358,,,,,107,851,,,,,48,1682,164,5192,200,4794,97,1521,143,2046,,,186,6993,216,5472,2,30
South Dakota,161,2483,,,40,589,143,744,,,7,11,127,716,31,223,,,,,35,718,69,1062,,,25,387,,,160,3199,162,3737,74,323
Tennessee,395,5845,114,1090,,,331,2886,,,,,284,1061,,,,,,,300,7283,359,6141,,,277,3450,,,329,6857,368,7606,138,932
Texas,1372,43602,,,1546,50574,1375,24063,,,1104,1522,1254,9907,,,,,,,746,37175,1182,36784,558,9907,1176,21979,,,1377,55765,1217,52608,389,6436
Utah,139,2985,,,112,2849,129,2257,,,,,115,1471,,,,,62,1956,109,3934,112,2313,96,1944,102,2493,,,131,5625,140,3966,105,1425
Vermont,30,563,3,16,,,32,241,16,325,5,6,16,42,8,32,14,119,15,359,36,792,25,461,,,3,20,15,126,26,410,12,214,6,13
Virginia,316,6952,,,202,4074,298,4117,156,4606,43,57,192,554,86,979,,,116,3952,291,8762,305,6961,235,4171,272,3719,268,7371,311,9472,309,8426,181,669
Washington,347,7561,106,1555,64,838,306,4116,,,96,282,3478,91,1019,,,,,282,9582,298,6668,173,3943,246,7791,,,328,11818,352,11376,263,2830
West Virginia,122,1973,,,116,2030,97,797,,,,,,,,,,,,,74,1701,112,2146,48,505,70,835,,,107,2679,120,2538,,
Wisconsin,482,9482,,,,,422,4760,,,,,179,2260,84,1157,28,750,89,1047,270,8029,431,8662,139,3029,207,5596,,,457,12335,482,15332,184,682
Wyoming,69,1397,,,,,45,449,,,,,39,231,,,,,,,27,933,13,338,26,507,16,414,30,827,70,1652,68,1762,49,412
