Rank,Sport,Schools
1,Basketball,18587
2,Track and Field – Outdoor,17274
3,Baseball,16146
4,Cross Country,15511
5,Golf,14055
6,Football – 11-Player,13788
7,Soccer,12754
8,Wrestling,11149
9,Tennis,10175
10,Swimming & Diving,7855
